TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 	
 UNITS	[GW or GWh]	[MCHCapitalf/GW]	 [MCHCapitalf/GW]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0	0	60	0	0	0	0	0	1	0.849	0.025393	0	%f\t
CCGT	5907.81918	150.990102	25	0	7.652697	100000	0	0.12132	1	0.85	0.048263	1406.489219	%f\t
COAL_US	0	0	35	0	0	100000	0	0	1	0.868	0.036934	0	%f\t
COAL_IGCC	0	0	35	0	0	100000	0	0	1	0.856	0.036934	0	%f\t
PV	51482.25	639.977625	25	3.846	59.175	100000	0	0.563309	1	1	0.048263	123168.6203	%f\t
WIND_ONSHORE	10400	28.9	30	1.177	10	10	0	0.195071	1	1	0.041639	6228.5	%f\t
WIND_OFFSHORE	6755	34.23	30	0.692	3.5	3.5	0	0.115643	1	1	0.041639	2179.975	%f\t
HYDRO_RIVER	605.390392	6.053376	40	0.11	0.12	0.12	0	0.004658	1	1	0.033427	151.5384	%f\t
GEOTHERMAL	0	0	30	0	0	0	0	0	1	0.86	0.041639	0	%f\t
IND_COGEN_GAS	10499.3758	690.58303	25	0	7.456761	100000	0	0.74419	1	0.85	0.048263	7638.108956	%f\t
IND_COGEN_WOOD	0	0	25	0	0	100000	0	0	1	0.85	0.048263	0	%f\t
IND_COGEN_WASTE	0	0	25	0	0	100000	0	0	1	0.85	0.048263	0	%f\t
IND_BOILER_GAS	0	0	17	0	0	100000	0	0	1	0.95	0.06708	0	%f\t
IND_BOILER_WOOD	433.85921	8.677184	17	0	3.766815	100000	0	0.109199	1	0.9	0.06708	108.74795	%f\t
IND_BOILER_OIL	0	0	17	0	0	100000	0	0	1	0.95	0.06708	0	%f\t
IND_BOILER_COAL	0	0	17	0	0	100000	0	0	1	0.9	0.06708	0	%f\t
IND_BOILER_WASTE	425.005428	8.500109	17	0	3.689946	100000	0	0.117162	1	0.9	0.06708	106.528727	%f\t
IND_DIRECT_ELEC	1663.936197	7.548216	15	0	5.006671	100000	0	0.02945	1	0.95	0.074944	7.359806	%f\t
DHN_HP_ELEC	10030.53545	348.999536	25	0	29.094192	100000	0	1	1	0.95	0.048263	5085.373886	%f\t
DHN_COGEN_GAS	0	0	25	0	0	100000	0	0	1	0.85	0.048263	0	%f\t
DHN_COGEN_WOOD	0	0	25	0	0	100000	0	0	1	0.85	0.048263	0	%f\t
DHN_COGEN_WET_BIOMASS	0	0	25	0	0	100000	0	0	1	0.75	0.048263	0	%f\t
DHN_COGEN_WASTE	0	0	25	0	0	100000	0	0	1	0.85	0.048263	0	%f\t
DHN_BOILER_GAS	0	0	17	0	0	100000	0	0	1	0.95	0.06708	0	%f\t
DHN_BOILER_WOOD	0	0	17	0	0	100000	0	0	1	0.9	0.06708	0	%f\t
DHN_BOILER_OIL	0	0	17	0	0	100000	0	0	1	0.95	0.06708	0	%f\t
DHN_DEEP_GEO	0	0	30	0	0	0	0	0	1	0.85	0.041639	0	%f\t
DHN_SOLAR	0	0	30	0	0	100000	0	0	1	1	0.041639	0	%f\t
DEC_HP_ELEC	14400.81767	616.101211	18	0	29.267548	100000	0	1	1	1	0.063806	4825.926019	%f\t
DEC_THHP_GAS	0	0	20	0	0	100000	0	0	0	1	0.058246	0	%f\t
DEC_COGEN_GAS	0	0	20	0	0	100000	0	0	1	1	0.058246	0	%f\t
DEC_COGEN_OIL	0	0	20	0	0	100000	0	0	1	1	0.058246	0	%f\t
DEC_ADVCOGEN_GAS	0	0	20	0	0	100000	0	0	1	1	0.058246	0	%f\t
DEC_ADVCOGEN_H2	0	0	20	0	0	100000	0	0	1	1	0.058246	0	%f\t
DEC_BOILER_GAS	0	0	17	0	0	100000	0	0	1	1	0.06708	0	%f\t
DEC_BOILER_WOOD	0	0	17	0	0	100000	0	0	1	1	0.06708	0	%f\t
DEC_BOILER_OIL	0	0	17	0	0	100000	0	0	1	1	0.06708	0	%f\t
DEC_SOLAR	0	0	20	0	0	100000	0	0	1	1	0.058246	0	%f\t
DEC_DIRECT_ELEC	0	0	15	0	0	100000	0	0	1	1	0.074944	0	%f\t
TRAMWAY_TROLLEY	0	0	1	0	16.7	16.7	0	0.1	0.3	1	1.015	0	%f\t
BUS_COACH_DIESEL	0	0	1	0	16.7	16.7	0	0	0.3	1	1.015	0	%f\t
BUS_COACH_HYDIESEL	0	0	1	0	16.7	16.7	0	0.3	0.3	1	1.015	0	%f\t
BUS_COACH_CNG_STOICH	0	0	1	0	16.7	16.7	0	0	0.3	1	1.015	0	%f\t
BUS_COACH_FC_HYBRIDH2	0	0	1	0	16.7	16.7	0	0	0.2	1	1.015	0	%f\t
TRAIN_PUB	0	0	1	0	16.7	16.7	0	0.6	0.6	1	1.015	0	%f\t
CAR_GASOLINE	0	0	1	0	16.7	16.7	0	0	1	1	1.015	0	%f\t
CAR_DIESEL	0	0	1	0	16.7	16.7	0	0	1	1	1.015	0	%f\t
CAR_NG	0	0	1	0	16.7	16.7	0	0	1	1	1.015	0	%f\t
CAR_HEV	0	0	1	0	16.7	16.7	0	0.228721	1	1	1.015	0	%f\t
CAR_PHEV	0	0	1	0	16.7	16.7	0	0	1	1	1.015	0	%f\t
CAR_BEV	0	0	1	0	16.7	16.7	0	0	1	1	1.015	0	%f\t
CAR_FUEL_CELL	0	0	1	0	16.7	16.7	0	0.771279	1	1	1.015	0	%f\t
TRAIN_FREIGHT	0	0	1	0.92	10	10	0	1	1	1	1.015	0	%f\t
BOAT_FREIGHT_DIESEL	0	0	1	0.92	10	10	0	0	1	1	1.015	0	%f\t
BOAT_FREIGHT_NG	0	0	1	0.92	10	10	0	1	1	1	1.015	0	%f\t
TRUCK_DIESEL	0	0	1	0.92	10	10	0	0	1	1	1.015	0	%f\t
TRUCK_FUEL_CELL	0	0	1	0	10	10	0	0	1	1	1.015	0	%f\t
TRUCK_NG	0	0	1	0	10	10	0	1	1	1	1.015	0	%f\t
NON_ENERGY_OIL	0	0	1	0	100000	100000	0	0	1	1	1.015	0	%f\t
NON_ENERGY_NG	0	0	1	0	100000	100000	0	1	1	1	1.015	0	%f\t
PHS	294	0	50	5	5	6.5	0	-1	1	1	0.028572	41.65	%f\t
BATT_LI	16170.58684	33.197894	15	0	53.54499	100000	0	-1	1	1	0.074944	3282.307858	%f\t
BEV_BATT	0	0	1	0	0	100000	0	-1	1	1	1.015	0	%f\t
PHEV_BATT	0	0	1	0	0	100000	0	-1	1	1	1.015	0	%f\t
TS_DEC_HP_ELEC	1494.158628	10.45911	25	0	78.756762	100000	0	-1	1	1	0.048263	0	%f\t
TS_DEC_DIRECT_ELEC	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t
TS_DHN_DAILY	0	0	40	0	0	100000	0	-1	1	1	0.033427	0	%f\t
TS_DHN_SEASONAL	11939.0536	66.328076	25	0	22109.35852	100000	0	-1	1	1	0.048263	0	%f\t
TS_DEC_THHP_GAS	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t
TS_DEC_COGEN_GAS	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t
TS_DEC_COGEN_OIL	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t
TS_DEC_ADVCOGEN_GAS	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t
TS_DEC_ADVCOGEN_H2	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t
TS_DEC_BOILER_GAS	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t
TS_DEC_BOILER_WOOD	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t
TS_DEC_BOILER_OIL	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t
SEASONAL_NG	0	0	30	0	0	100000	0	-1	1	1	0.041639	0	%f\t
SEASONAL_H2	19.52114	0.09461	20	0	3.153658	100000	0	-1	1	1	0.058246	0	%f\t
CO2_STORAGE	0	0	20	0	0	100000	0	-1	1	1	0.058246	0	%f\t
SLF_STO	2.992411	0.187085	20	0	471.24578	100000	0	-1	1	1	0.058246	0	%f\t
EFFICIENCY	3270.935961	0	1	0	0.985222	100000	0	-1	1	1	1.015	0	%f\t
DHN	24028.38647	0	60	0	29.094192	100000	0	-1	1	1	0.025393	0	%f\t
GRID	74930.10866	0	80	0	1.000147	100000	0	-1	1	1	0.021548	0	%f\t
H2_ELECTROLYSIS	921.518448	92.160261	15	0	2.99598	100000	0	-1	1	0.9	0.074944	0	%f\t
H2_NG	2040.672724	193.015382	25	0	2.995511	100000	0	-1	1	0.86	0.048263	0	%f\t
H2_BIOMASS	0	0	25	0	0	100000	0	-1	1	0.86	0.048263	0	%f\t
GASIFICATION_SNG	0	0	25	0	0	100000	0	-1	1	0.85	0.048263	0	%f\t
