Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out
1	2.070896	39.388066	0	0	0	1.455484	0	226.596882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.70405	0
2	2.070896	39.380188	0	0	0	1.455484	0	227.320254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.723372	0
3	2.070896	39.372312	0	0	0	1.455484	0	228.050067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.729813	0
4	2.070896	39.364438	0	0	0	1.455484	0	228.709032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.658966	0
5	2.070896	39.356565	0	0	0	1.455484	0	229.239185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.530153	0
6	2.070896	39.348693	0	0	0	1.455484	0	229.460187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.221002	0
7	2.070896	39.340824	0	0	0	1.455484	0	229.198143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.262044
8	2.070896	39.332956	0	0	0	1.455484	0	229.064913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13323
9	2.070896	39.325089	0	0	0	1.455484	0	228.996086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068826
10	2.070896	39.317224	0	0	0	1.455484	0	228.830648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165438
11	2.070896	39.309361	0	0	0	1.455484	0	228.536402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294246
12	2.070896	39.301499	0	0	0	1.455484	0	228.139102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3973
13	2.070896	39.293638	0	0	0	1.455484	0	227.844856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294246
14	2.070896	39.28578	0	0	0	1.455484	0	227.537726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307129
