Tech	ELECTRICITY	GASOLINE	DIESEL	LFO	NG	SLF	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	HEAT_HIGH_T	HEAT_LOW_T_DHN	HEAT_LOW_T_DECEN	MOB_PUBLIC	MOB_PRIVATE	MOB_FREIGHT_RAIL	MOB_FREIGHT_BOAT	MOB_FREIGHT_ROAD	NON_ENERGY
 ELECTRICITY 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 GASOLINE 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 DIESEL 	0	0	5319.482549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 BIOETHANOL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 BIODIESEL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LFO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 NG 	0	0	0	0	260945.8851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 SLF 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 SNG 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 WOOD 	0	0	0	0	0	0	16484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 WET_BIOMASS 	0	0	0	0	0	0	0	13716.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 COAL 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 URANIUM 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 WASTE 	0	0	0	0	0	0	0	0	0	0	9333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 H2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ELEC_EXPORT 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CO2_EMISSIONS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35856.20453	0	0	0	0	0	0	0	0	0	0
 RES_WIND 	0	0	0	0	0	0	0	0	0	0	0	0	33941.80115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 RES_SOLAR 	0	0	0	0	0	0	0	0	0	0	0	0	0	61534.84987	0	0	0	0	0	0	0	0	0	0	0	0	0	0
