Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLCapitalf_STO	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLCapitalf_STO_in	SLCapitalf_STO_out	
 1	2.070896	39.388066	0.000000	0.000000	0.000000	1.455484	0.000000	226.596882	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.704050	0.000000	
 2	2.070896	39.380188	0.000000	0.000000	0.000000	1.455484	0.000000	227.320254	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.723372	0.000000	
 3	2.070896	39.372312	0.000000	0.000000	0.000000	1.455484	0.000000	228.050067	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.729813	0.000000	
 4	2.070896	39.364438	0.000000	0.000000	0.000000	1.455484	0.000000	228.709032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.658966	0.000000	
 5	2.070896	39.356565	0.000000	0.000000	0.000000	1.455484	0.000000	229.239185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.530153	0.000000	
 6	2.070896	39.348693	0.000000	0.000000	0.000000	1.455484	0.000000	229.460187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.221002	0.000000	
 7	2.070896	39.340824	0.000000	0.000000	0.000000	1.455484	0.000000	229.198143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.262044	
 8	2.070896	39.332956	0.000000	0.000000	0.000000	1.455484	0.000000	229.064913	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.133230	
 9	2.070896	39.325089	0.000000	0.000000	0.000000	1.455484	0.000000	228.996086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068826	
 10	2.070896	39.317224	0.000000	0.000000	0.000000	1.455484	0.000000	228.830648	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.165438	
 11	2.070896	39.309361	0.000000	0.000000	0.000000	1.455484	0.000000	228.536402	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.294246	
 12	2.070896	39.301499	0.000000	0.000000	0.000000	1.455484	0.000000	228.139102	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.397300	
 13	2.070896	39.293638	0.000000	0.000000	0.000000	1.455484	0.000000	227.844856	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.294246	
 14	2.070896	39.285780	0.000000	0.000000	0.000000	1.455484	0.000000	227.537726	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.307129	
 15	2.070896	39.466929	0.000000	0.000000	0.000000	1.455484	0.000000	227.101783	0.000000	0.000000	-0.189006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.435943	
 16	2.070896	39.459035	0.000000	0.000000	0.000000	1.455005	0.000000	226.614313	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000478	0.000000	0.000000	0.000000	0.487470	
 17	2.070896	39.451143	0.000000	0.000000	0.000000	1.454527	0.000000	226.126843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000478	0.000000	0.000000	0.000000	0.487470	
 18	2.070896	39.443253	0.000000	0.000000	0.000000	1.454527	0.000000	225.961405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.165438	
 19	2.070896	39.435365	0.000000	0.000000	0.000000	1.454527	0.000000	226.053595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.092190	0.000000	
 20	2.070896	39.427477	0.000000	0.000000	0.000000	1.454527	0.000000	226.306801	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.253206	0.000000	
 21	2.070896	39.419592	0.000000	0.000000	0.000000	1.454527	0.000000	226.721022	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.414221	0.000000	
 22	2.070896	39.411708	0.000000	0.000000	0.000000	1.454527	0.000000	227.251175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.530153	0.000000	
 23	2.070896	39.403826	0.000000	0.000000	0.000000	1.454527	0.000000	227.858615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.607441	0.000000	
 24	2.070896	39.395945	0.000000	0.000000	0.000000	1.454527	0.000000	228.543344	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.684728	0.000000	
 25	2.070896	39.388066	0.000000	0.000000	0.000000	1.454527	0.000000	229.247394	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.704050	0.000000	
 26	2.070896	39.380188	0.000000	0.000000	0.000000	1.454527	0.000000	229.970766	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.723372	0.000000	
 27	2.070896	39.372312	0.000000	0.000000	0.000000	1.454527	0.000000	230.700579	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.729813	0.000000	
 28	2.070896	39.364438	0.000000	0.000000	0.000000	1.454527	0.000000	231.359544	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.658966	0.000000	
 29	2.070896	39.356565	0.000000	0.000000	0.000000	1.454527	0.000000	231.889697	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.530153	0.000000	
 30	2.070896	39.348693	0.000000	0.000000	0.000000	1.454527	0.000000	232.110699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.221002	0.000000	
 31	2.070896	39.340824	0.000000	0.000000	0.000000	1.454527	0.000000	231.848655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.262044	
 32	2.070896	39.332956	0.000000	0.000000	0.000000	1.454527	0.000000	231.715425	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.133230	
 33	2.070896	39.325089	0.000000	0.000000	0.000000	1.454527	0.000000	231.646598	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068826	
