,#,hour,TD
0,1,1,10
1,2,2,10
2,3,3,10
3,4,4,10
4,5,5,10
5,6,6,10
6,7,7,10
7,8,8,10
8,9,9,10
9,10,10,10
10,11,11,10
11,12,12,10
12,13,13,10
13,14,14,10
14,15,15,10
15,16,16,10
16,17,17,10
17,18,18,10
18,19,19,10
19,20,20,10
20,21,21,10
21,22,22,10
22,23,23,10
23,24,24,10
24,25,1,10
25,26,2,10
26,27,3,10
27,28,4,10
28,29,5,10
29,30,6,10
30,31,7,10
31,32,8,10
32,33,9,10
33,34,10,10
34,35,11,10
35,36,12,10
36,37,13,10
37,38,14,10
38,39,15,10
39,40,16,10
40,41,17,10
41,42,18,10
42,43,19,10
43,44,20,10
44,45,21,10
45,46,22,10
46,47,23,10
47,48,24,10
48,49,1,10
49,50,2,10
50,51,3,10
51,52,4,10
52,53,5,10
53,54,6,10
54,55,7,10
55,56,8,10
56,57,9,10
57,58,10,10
58,59,11,10
59,60,12,10
60,61,13,10
61,62,14,10
62,63,15,10
63,64,16,10
64,65,17,10
65,66,18,10
66,67,19,10
67,68,20,10
68,69,21,10
69,70,22,10
70,71,23,10
71,72,24,10
72,73,1,1
73,74,2,1
74,75,3,1
75,76,4,1
76,77,5,1
77,78,6,1
78,79,7,1
79,80,8,1
80,81,9,1
81,82,10,1
82,83,11,1
83,84,12,1
84,85,13,1
85,86,14,1
86,87,15,1
87,88,16,1
88,89,17,1
89,90,18,1
90,91,19,1
91,92,20,1
92,93,21,1
93,94,22,1
94,95,23,1
95,96,24,1
96,97,1,1
97,98,2,1
98,99,3,1
99,100,4,1
100,101,5,1
101,102,6,1
102,103,7,1
103,104,8,1
104,105,9,1
105,106,10,1
106,107,11,1
107,108,12,1
108,109,13,1
109,110,14,1
110,111,15,1
111,112,16,1
112,113,17,1
113,114,18,1
114,115,19,1
115,116,20,1
116,117,21,1
117,118,22,1
118,119,23,1
119,120,24,1
120,121,1,1
121,122,2,1
122,123,3,1
123,124,4,1
124,125,5,1
125,126,6,1
126,127,7,1
127,128,8,1
128,129,9,1
129,130,10,1
130,131,11,1
131,132,12,1
132,133,13,1
133,134,14,1
134,135,15,1
135,136,16,1
136,137,17,1
137,138,18,1
138,139,19,1
139,140,20,1
140,141,21,1
141,142,22,1
142,143,23,1
143,144,24,1
144,145,1,1
145,146,2,1
146,147,3,1
147,148,4,1
148,149,5,1
149,150,6,1
150,151,7,1
151,152,8,1
152,153,9,1
153,154,10,1
154,155,11,1
155,156,12,1
156,157,13,1
157,158,14,1
158,159,15,1
159,160,16,1
160,161,17,1
161,162,18,1
162,163,19,1
163,164,20,1
164,165,21,1
165,166,22,1
166,167,23,1
167,168,24,1
168,169,1,11
169,170,2,11
170,171,3,11
171,172,4,11
172,173,5,11
173,174,6,11
174,175,7,11
175,176,8,11
176,177,9,11
177,178,10,11
178,179,11,11
179,180,12,11
180,181,13,11
181,182,14,11
182,183,15,11
183,184,16,11
184,185,17,11
185,186,18,11
186,187,19,11
187,188,20,11
188,189,21,11
189,190,22,11
190,191,23,11
191,192,24,11
192,193,1,11
193,194,2,11
194,195,3,11
195,196,4,11
196,197,5,11
197,198,6,11
198,199,7,11
199,200,8,11
200,201,9,11
201,202,10,11
202,203,11,11
203,204,12,11
204,205,13,11
205,206,14,11
206,207,15,11
207,208,16,11
208,209,17,11
209,210,18,11
210,211,19,11
211,212,20,11
212,213,21,11
213,214,22,11
214,215,23,11
215,216,24,11
216,217,1,11
217,218,2,11
218,219,3,11
219,220,4,11
220,221,5,11
221,222,6,11
222,223,7,11
223,224,8,11
224,225,9,11
225,226,10,11
226,227,11,11
227,228,12,11
228,229,13,11
229,230,14,11
230,231,15,11
231,232,16,11
232,233,17,11
233,234,18,11
234,235,19,11
235,236,20,11
236,237,21,11
237,238,22,11
238,239,23,11
239,240,24,11
240,241,1,10
241,242,2,10
242,243,3,10
243,244,4,10
244,245,5,10
245,246,6,10
246,247,7,10
247,248,8,10
248,249,9,10
249,250,10,10
250,251,11,10
251,252,12,10
252,253,13,10
253,254,14,10
254,255,15,10
255,256,16,10
256,257,17,10
257,258,18,10
258,259,19,10
259,260,20,10
260,261,21,10
261,262,22,10
262,263,23,10
263,264,24,10
264,265,1,12
265,266,2,12
266,267,3,12
267,268,4,12
268,269,5,12
269,270,6,12
270,271,7,12
271,272,8,12
272,273,9,12
273,274,10,12
274,275,11,12
275,276,12,12
276,277,13,12
277,278,14,12
278,279,15,12
279,280,16,12
280,281,17,12
281,282,18,12
282,283,19,12
283,284,20,12
284,285,21,12
285,286,22,12
286,287,23,12
287,288,24,12
288,289,1,11
289,290,2,11
290,291,3,11
291,292,4,11
292,293,5,11
293,294,6,11
294,295,7,11
295,296,8,11
296,297,9,11
297,298,10,11
298,299,11,11
299,300,12,11
300,301,13,11
301,302,14,11
302,303,15,11
303,304,16,11
304,305,17,11
305,306,18,11
306,307,19,11
307,308,20,11
308,309,21,11
309,310,22,11
310,311,23,11
311,312,24,11
312,313,1,11
313,314,2,11
314,315,3,11
315,316,4,11
316,317,5,11
317,318,6,11
318,319,7,11
319,320,8,11
