,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,GB,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK
2012-01-01 00:00:00,9063.0,7468.0,3914.0,7405.0,8989.0,62839.0,5260.0,1244.0,9285.0,17583.0,8231.0,30623.0,25860.0,3792.0,10075.0,2302.0,62274.0,2060.0,579.0,1805.0,11586.0,9417.0,23597.0,1928.0,8753.0,10420.0,1845.0,4303.0
2012-01-01 01:00:00,9122.0,7106.0,4198.0,7426.0,9018.0,61207.0,5271.0,1330.0,10193.0,17416.0,8741.0,30721.0,28349.0,3853.0,10094.0,2535.0,62221.0,2213.0,540.0,1964.0,10828.0,9484.0,23703.0,2128.0,9397.0,10491.0,1871.0,4303.0
2012-01-01 02:00:00,9834.0,7914.0,4868.0,8065.0,9772.0,68081.0,5747.0,1554.0,12400.0,19652.0,9992.0,35161.0,27894.0,4183.0,10932.0,2428.0,68052.0,2566.0,600.0,2367.0,11959.0,10089.0,25991.0,2028.0,10971.0,11172.0,2017.0,4585.0
2012-01-01 03:00:00,11625.0,10143.0,6497.0,9697.0,11731.0,85661.0,6976.0,2151.0,16968.0,25576.0,13516.0,47209.0,31846.0,4991.0,13098.0,2717.0,82637.0,3442.0,757.0,3298.0,15176.0,11572.0,31915.0,2304.0,14844.0,12842.0,2394.0,5298.0
2012-01-01 04:00:00,15864.0,14397.0,7320.0,13379.0,16140.0,120866.0,9695.0,2444.0,19075.0,37063.0,15144.0,69006.0,41811.0,6896.0,17927.0,3486.0,113165.0,3870.0,1057.0,3707.0,21503.0,15587.0,45331.0,3094.0,16872.0,17268.0,3318.0,7211.0
2012-01-01 05:00:00,17708.0,15855.0,6912.0,14929.0,17985.0,134451.0,10872.0,2306.0,18010.0,41334.0,14314.0,76112.0,61022.0,7882.0,19863.0,4989.0,125995.0,3659.0,1137.0,3506.0,23578.0,17519.0,51267.0,4522.0,15913.0,19345.0,3807.0,7932.0
2012-01-01 06:00:00,16737.0,14882.0,6823.0,14108.0,16983.0,126726.0,10261.0,2239.0,17553.0,39505.0,14099.0,73725.0,69334.0,7446.0,18764.0,5598.0,119085.0,3590.0,1063.0,3383.0,21947.0,16506.0,48531.0,4806.0,15595.0,18230.0,3589.0,7516.0
2012-01-01 07:00:00,16394.0,14281.0,6594.0,13726.0,16606.0,120654.0,9971.0,2166.0,16661.0,36819.0,13642.0,68319.0,65834.0,7259.0,18393.0,5248.0,116430.0,3470.0,1025.0,3259.0,21205.0,16231.0,46156.0,4613.0,15078.0,17968.0,3475.0,7417.0
2012-01-01 08:00:00,15812.0,13448.0,6362.0,13211.0,15994.0,114569.0,9579.0,2082.0,15840.0,34578.0,13135.0,63010.0,60725.0,6970.0,17715.0,4975.0,111015.0,3348.0,975.0,3116.0,20147.0,15673.0,44414.0,4266.0,14533.0,17345.0,3357.0,7164.0
2012-01-01 09:00:00,15156.0,12508.0,6161.0,12620.0,15281.0,107793.0,9132.0,2033.0,15243.0,32412.0,12852.0,58650.0,56726.0,6685.0,16921.0,4690.0,105582.0,3248.0,906.0,3037.0,18703.0,15067.0,42349.0,4010.0,14081.0,16667.0,3224.0,6865.0
2012-01-01 10:00:00,14773.0,12077.0,6020.0,12297.0,14899.0,104457.0,8881.0,1980.0,14876.0,31104.0,12488.0,55348.0,53072.0,6451.0,16517.0,4374.0,102029.0,3171.0,881.0,2952.0,18195.0,14735.0,41278.0,3711.0,13765.0,16298.0,3128.0,6752.0
2012-01-01 11:00:00,14359.0,11685.0,5978.0,11945.0,14464.0,101507.0,8632.0,1932.0,14941.0,30110.0,12267.0,53265.0,50821.0,6307.0,16018.0,4228.0,99232.0,3130.0,850.0,2898.0,17587.0,14300.0,40133.0,3600.0,13606.0,15811.0,3056.0,6529.0
2012-01-01 12:00:00,14181.0,11564.0,6070.0,11791.0,14313.0,99886.0,8558.0,1949.0,15273.0,29451.0,12369.0,52523.0,49526.0,6316.0,15847.0,4111.0,99330.0,3170.0,838.0,2942.0,17335.0,14104.0,39168.0,3448.0,13806.0,15624.0,3006.0,6411.0
