date,AT,BE,BG,CZ,DK,DE,EE,IE,ES,FR,HR,IT,LV,LT,LU,HU,NL,PL,PT,RO,SI,SK,FI,SE,NO,CH,UK,EL
1/01/2019 0:00,11610,19266,1998,12261,8122.671105,111155,1650.810216,3086,36147.91613,30623,4179,68799.74441,2600.312377,2609.053572,1394,11157,23684,30659,4633.388653,12138,1813,4302,10083.67339,12325.79206,9881.709028,21419.74038,45388,16790.03086
1/01/2019 1:00,11826,20185,2231,12547,8191.749383,114153,1594.25705,3260,37959.78351,30722,4287,66478.28407,2523.674083,2543.765495,1432,11415,24955,31158,4723.09962,12800,1854,4303,9855.311077,12187.52602,9599.54069,21094.64674,46925,15917.3114
1/01/2019 2:00,12414,21463,2796,13352,8070.914189,120681,1604.333975,3340,36838.63891,35160,4575,66905.47211,2504.210031,2529.135642,1500,12154,26542,33011,4828.178643,14321,1984,4584,9868.713094,12247.48551,9387.525639,22319.90837,48217,16146.04866
1/01/2019 3:00,13855,24492,3826,14911,7959.062261,137484,1618.840993,3762,37251.99203,47208,5259,67201.24452,2486.766905,2518.314373,1663,13611,30308,38072,4976.021483,18960,2315,5297,9881.930222,12264.89676,9297.543984,23420.20562,52741,16341.56905
1/01/2019 4:00,18359,33089,4596,19431,7814.018877,183851,1633.026902,4747,37834.28898,69006,6959,67344.97015,2478.219603,2515.152833,2154,17815,41101,52070,5062.564176,23556,3196,7211,9919.792226,12181.94708,9263.265515,23815.53776,63880,16462.35388
1/01/2019 5:00,22279,39045,4453,22987,7661.404952,217693,1643.707194,6613,38380.48178,76112,8202,67451.73335,2477.830133,2515.816301,2502,21106,48536,62826,5112.145697,21997,3818,7932,9966.903064,12069.19543,9397.556835,23961.77981,90122,16585.62685
1/01/2019 6:00,20982,37262,4285,22227,7520.199363,207366,1654.894602,7860,38960.78996,73726,7780,67490.89254,2492.325989,2522.982526,2418,20399,46320,59630,5139.368054,21523,3641,7516,10017.88937,11858.96151,9326.548975,23996.32199,108055,16721.11643
1/01/2019 7:00,20426,36654,3953,22356,7403.967568,202671,1625.837376,7552,39914.40979,68319,7735,66727.8703,2504.98979,2556.944842,2391,20465,45555,57172,5340.04827,20672,3538,7417,9888.581676,11805.69977,9407.427821,22869.28701,102967,15933.05942
1/01/2019 8:00,19792,35143,3711,21461,7239.587897,196455,1644.551714,7216,38516.25674,63010,7451,62437.04165,2534.444381,2560.308336,2329,19652,43602,55463,5341.736016,19908,3412,7164,9960.163597,11591.67852,9244.41157,20664.00487,98366,15843.29722
1/01/2019 9:00,18967,33402,3513,20564,7127.035998,188289,1669.459271,6708,31010.66756,58651,7177,56593.32262,2551.007619,2566.745407,2224,18823,41307,53225,4255.74856,19132,3270,6864,10024.19228,11335.93884,9050.067623,16261.55785,93154,15708.29338
