date,AT_th,BE_th,BG_th,CZ_th,DK_th,DE_th,EE_th,IE_th,ES_th,FR_th,HR_th,IT_th,LV_th,LT_th,LU_th,HU_th,NL_th,PL_th,PT_th,RO_th,SI_th,SK_th,FI_th,SE_th,NO_th,CH_th,UK_th,EL_th
2019-01-01 0:00,26953.22428,39611.12099,4534.87483,24896.33543,13342.14756,230709.9968,2683.949113,5324.115719,127417.3217,49360.70187,7078.113087,274625.7566,4940.754558,5002.431964,2992.137894,18420.08523,46881.96672,58762.81945,30212.57744,30355.10067,3437.348087,11681.23156,25323.65587,29134.24154,19768.46008,52144.98415,78415.84304,39124.57441
2019-01-01 1:00,27454.67962,41500.59572,5063.71659,25477.06717,13455.61425,236932.556,2592.002856,5624.308893,133803.9496,49520.27831,7261.036325,265359.257,4795.137053,4877.252793,3073.702628,18846.04042,49397.88379,59719.23182,30797.54878,32010.65155,3515.081827,11683.94686,24750.15767,28807.42472,19203.97944,51353.56454,81071.28393,37090.94042
2019-01-01 2:00,28819.75247,44128.17864,6346.101114,27111.64429,13257.13262,250481.8777,2608.386299,5762.328743,129852.0415,56673.81633,7748.831628,267064.45,4758.154148,4849.202451,3219.660574,20066.12135,52539.31603,63270.7992,31482.7294,35814.41726,3761.554663,12446.94688,24783.81485,28949.14983,18779.84116,54336.38539,83303.44373,37623.95004
2019-01-01 3:00,32165.1096,50355.83801,8683.89945,30277.24146,13073.40674,285357.6825,2631.972352,6490.383452,131309.0646,76093.78616,8907.345471,268245.0753,4725.011129,4828.454444,3569.530357,22471.61245,59994.03173,72971.00564,32446.75672,47415.77761,4389.112422,14382.9576,24817.00772,28990.30447,18599.83193,57014.98848,91119.4584,38079.55683
2019-01-01 4:00,42621.38196,68031.37041,10431.57393,39455.23968,12835.16119,381595.6423,2655.036335,8189.752857,133361.5955,111229.618,11786.69274,268818.7804,4708.770726,4822.39271,4623.432584,29412.37057,81358.54224,99800.38516,33011.06894,58909.60219,6059.43987,19580.04667,24912.09254,28794.23788,18531.2575,57977.39922,110364.0622,38361.01284
2019-01-01 5:00,51721.86768,80276.97596,10107.00582,46675.80641,12584.48041,451837.0863,2672.400754,11409.06586,135286.8635,122683.6607,13892.00372,269244.9436,4708.030708,4823.664801,5370.393838,34845.77565,96075.96424,120415.9592,33334.37131,55010.80486,7238.717592,21537.77981,25030.40445,28527.72894,18799.90867,58333.41611,155701.7848,38648.26678
2019-01-01 6:00,48710.81411,76611.10714,9725.695019,45132.60317,12352.53875,430402.6736,2690.589661,13560.45028,137332.3843,118837.7071,13177.2481,269401.2541,4735.573733,4837.404861,5190.092846,33678.52637,91689.44007,114290.3201,33511.87802,53825.41042,6903.135347,20408.21395,25158.44903,28030.803,18657.85671,58417.50683,186684.232,38963.98818
2019-01-01 7:00,47420.03093,75361.05204,8972.152254,45394.54162,12161.61858,420657.8719,2643.347334,13029.07385,140693.7865,110122.2542,13101.03009,266355.5225,4759.635739,4902.522027,5132.138955,33787.49165,90175.13909,109579.1746,34820.43791,51697.20226,6707.853023,20139.399,24833.71186,27904.90923,18819.65567,55673.81245,177893.807,37127.63688
2019-01-01 8:00,45948.16666,72254.41839,8422.88313,43577.21675,11891.61161,407756.1281,2673.773806,12449.39048,135765.4549,101564.7658,12620.00972,249227.9579,4815.601286,4908.970975,4999.059651,32445.23752,86309.21775,106303.606,34831.44307,49786.5665,6468.963967,19452.42745,25013.47928,27399.03125,18493.53999,50305.19452,169944.7611,36918.47062
2019-01-01 9:00,44032.88587,68674.90206,7973.48112,41755.83082,11706.73597,390807.0224,2714.269446,11572.96443,109309.1007,94538.5666,12155.92669,225901.7701,4847.072464,4921.313002,4773.683411,31076.56757,81766.31479,102014.1252,27750.12903,47845.92074,6199.739792,18637.83669,25174.27785,26794.54421,18104.75294,39587.71962,160940.1041,36603.8811
2019-01-01 10:00,42807.10616,67178.12556,7778.286308,40194.35281,11488.11224,379874.9946,2743.03609,10701.71413,86029.28436,89216.12799,11652.88778,207304.5533,4841.98386,4932.936425,4677.093594,29919.22422,80275.76755,98916.80579,20122.88803,46660.5263,5966.538571,18333.7228,25265.2696,26098.15623,17751.13695,36936.79417,152268.8888,35963.19449
2019-01-01 11:00,41690.43942,64433.34997,7751.049822,39229.85078,11282.19173,369854.1421,2748.880488,10373.91699,72373.25483,85856.96323,11434.39614,194614.9164,4845.695278,4948.217331,4548.307171,29201.04397,76647.38362,96557.39972,15729.72861,45850.25669,5835.718373,17728.21034,25443.14966,25530.61785,17488.18724,35066.09548,147229.2525,35537.03051
2019-01-01 12:00,40866.28829,63563.65703,7862.265471,38565.86728,11145.71964,363013.063,2740.369232,10071.99856,61990.20501,84660.94583,11364.95305,186608.0447,4861.846405,4963.097383,4477.474638,28692.53933,75376.55847,93636.41284,11420.25536,46117.84573,5720.065735,17407.80464,25706.11852,25051.53567,17308.98264,34113.29984,142704.4642,35244.26477
2019-01-01 13:00,40789.67705,62950.96555,8139.16974,39018.6756,11412.19227,363419.8747,2693.046196,9670.01575,58676.54889,85495.90137,11552.95749,176628.6735,4802.967156,4876.771998,4436.692271,29027.69011,74250.23526,94050.41098,8477.459429,47128.18192,5784.527861,17570.72279,25354.47828,24834.94561,17130.78211,34060.41379,139259.4745,32607.72045
2019-01-01 14:00,41156.48235,64388.11771,8472.816687,39467.42286,11390.22155,365999.8084,2645.157254,9590.654336,56051.5239,87923.3976,11796.85514,186431.0521,4859.897433,4897.685336,4436.692271,29349.63298,76041.66322,93891.32836,6665.650586,49273.8959,5848.989987,17850.39895,25458.92939,24775.12002,17364.01815,33964.42374,139708.6707,33524.87659
