0,BIO_STUR,GAS_COMC,GAS_GTUR,GAS_STUR,GEO_STUR,HRD_COMC,HRD_STUR,HYD_PEMFC,LIG_STUR,NUC_STUR,OIL_COMC,OIL_GTUR,OIL_STUR,SUN_PHOT,SUN_SCSP,WAT_HDAM,WAT_HPHS,WAT_HROR,WIN_WTOF,WIN_WTON,BIO_ICEN,BIO_GTUR,Biogas_GTUR,BIO_COMC,GAS_ICEN,LIG_GTUR,LIG_ICEN,HRD_ICEN,HRD_GTUR,Biogas_STUR,LIG_COMC,Biogas_COMC,OIL_ICEN
AT,0.0,5504.0,1667.0,178.0,362.0,0.0,0.0,2419.0,0.0,0.0,0.0,0.0,0.0,112979.0,0.0,5739.0,4793.0,6280.0,0.0,14923.0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,0.0,22722.0,4383.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156334.0,0.0,0.0,1310.0,141.0,3864.0,18130.0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,0.0,291.0,748.0,0.0,419.0,0.0,0.0,2357.0,0.0,3189.0,0.0,0.0,0.0,31969.0,0.0,1933.0,1012.9999999999999,51.0,0.0,1224.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,631.0,4808.0,852.0,0.0,132.0,0.0,0.0,3837.0,0.0,0.0,0.0,0.0,0.0,39856.0,0.0,10138.0,946.0,3456.0,0.0,12900.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,0.0,516.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,18.0,24710.0,2638.0,0.0,0.0,0.0,0.0,945.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,0.0,3179.0,1653.0,0.0,0.0,0.0,0.0,3842.0,1484.0,5349.0,0.0,0.0,0.0,36847.0,0.0,1077.0,1147.0,227.0,0.0,43962.0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0.0,100126.0,22124.0,0.0,978.0,0.0,0.0,6592.0,3823.0,0.0,0.0,0.0,116.0,347990.0,0.0,1441.0,6967.0,3618.0,105572.0,118380.0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,0.0,5921.0,2199.0,0.0,140.0,0.0,0.0,6466.0,0.0,0.0,0.0,0.0,0.0,14182.0,0.0,0.0,0.0,0.0,1247.0,52563.0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE,0.0,816.0,497.0,1574.0,0.0,0.0,0.0,1331.0,0.0,0.0,0.0,0.0,0.0,4692.0,0.0,0.0,0.0,0.0,0.0,8745.0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL,0.0,6215.0,1008.0,0.0,0.0,0.0,0.0,3931.0,833.0,0.0,0.0,251.0,0.0,91125.0,16938.0,2358.0,699.0,49.0,0.0,7416.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,0.0,29045.0,6988.0,0.0,47.0,0.0,0.0,14373.0,97.0,5615.0,0.0,0.0,0.0,385659.0,94391.0,11151.0,5264.0,2766.0,0.0,99603.0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,0.0,2670.0,997.0,240.0,0.0,0.0,0.0,3213.0,0.0,4740.0,0.0,466.0,0.0,21230.0,0.0,4620.0,0.0,36.0,20857.0,19732.0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,0.0,15495.0,12669.0,0.0,68.0,0.0,0.0,20211.0,600.0,48574.0,0.0,1945.0,0.0,262355.0,26622.0,22343.0,6978.0,16603.0,0.0,440328.0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,183.0,1719.0,490.0,0.0,83.0,0.0,0.0,1494.0,1044.0,0.0,0.0,0.0,0.0,18284.0,0.0,1854.0,293.0,315.0,0.0,866.0,0,0,0,0,0,0,0,0,0,0,0,0,0
