Delta 50-20,,,,
Region,null,Fuel cell,'Heat pump - air,'Heat pump - ground
AT,6.038,2.304,1.894604768,2.5804
BE,3.455,3.516,6.806022585,2.6722
BG,1.938,0.272,0.380677541,0
CH,17.677,3.198,4.71718946,2.3374
CY,0.566,0.246,0.28531995,0
CZ,15.135,3.545,4.652446675,2.4606
DE,8.64,21.099,41.48456713,17.8224
DK,0.923,0.97,-0.255457967,1.7204
EE,0.545,0.365,0.017565872,0.282
EL,2.703,0.084,1.522208281,1.4254
ES,30.862,10.721,4.00727729,1.4222
FI,6.841,3.652,-1.620828105,2.6538
FR,86.162,25.185,14.22860728,12.9886
HR,-2.51,0.764,0.690589711,0.8354
HU,5.147,1.894,4.048431619,1.6604
IE,2.729,1.074,2.152321205,0.7236
IS,0.817,0.028,0.106900878,0.1564
IT,117.095,18.07,22.71016311,7.8362
LT,0.047,0.132,0.320953576,0.1916
LU,0.515,0.16,0.606273526,0.258
LV,0.455,0.312,0.556336261,0.303
MT,-0.099,0.009,0,0
NL,43.838,3.829,13.51994981,2.491
NO,15.252,0.648,1.042409034,0.0886
PL,37.146,6.516,6.938519448,5.6236
PT,5.138,2.126,0.114178168,0.0002
RO,22.119,2.591,1.748306148,2.0594
SE,19.24,1.568,-3.476537014,1.2458
SI,0.7,0.192,0.335257215,0.1786
SK,2.383,0.531,1.703136763,0.7166
UK,233.356,22.888,28.14956085,10.2294
