0,BIO_STUR,GAS_COMC,GAS_GTUR,GAS_STUR,GEO_STUR,HRD_COMC,HRD_STUR,HYD_PEMFC,LIG_STUR,NUC_STUR,OIL_COMC,OIL_GTUR,OIL_STUR,SUN_PHOT,SUN_SCSP,WAT_HDAM,WAT_HPHS,WAT_HROR,WIN_WTOF,WIN_WTON,BIO_ICEN,BIO_GTUR,Biogas_GTUR,BIO_COMC,GAS_ICEN,LIG_GTUR,LIG_ICEN,HRD_ICEN,HRD_GTUR,Biogas_STUR,LIG_COMC,Biogas_COMC,OIL_ICEN
AT,0.0,8611.0,1751.0,178.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78132.0,0.0,5739.0,4793.0,6280.0,0.0,12362.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
BE,0.0,21921.0,4192.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129067.0,0.0,0.0,1310.0,141.0,3864.0,18130.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
BG,0.0,3715.0,1129.0,0.0,628.0,0.0,479.0,0.0,1303.0,475.0,0.0,0.0,0.0,32493.000000000004,0.0,1933.0,1012.9999999999999,51.0,0.0,6935.0,0,0,0,194.0,0,0,0,0,0,0,0,0,0
CH,0.0,7210.0,1442.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15550.0,0.0,10138.0,0.0,3456.0,0.0,12125.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
CY,0.0,772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,21871.0,1724.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
CZ,0.0,9305.0,2403.0,0.0,342.0,0.0,800.0,0.0,1684.0,1926.0,0.0,0.0,0.0,26774.0,0.0,1073.0,1147.0,227.0,0.0,41890.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
DE,0.0,100229.0,21317.0,0.0,2475.0,0.0,0.0,0.0,4089.0000000000005,0.0,0.0,0.0,249.0,267570.0,0.0,1441.0,6967.0,3618.0,105545.0,106972.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
DK,0.0,7783.0,1974.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12772.0,0.0,0.0,0.0,0.0,1246.0,46685.0,0,0,0,998.0,0,0,0,0,0,0,0,0,0
EE,74.0,1706.0,473.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4839.0,0.0,0.0,0.0,0.0,868.0,7843.0,0,0,0,164.0,0,0,0,0,0,0,0,0,0
EL,0.0,6854.0,1085.0,0.0,0.0,0.0,0.0,378.0,833.0,0.0,0.0,251.0,0.0,95597.0,16938.0,2358.0,699.0,49.0,0.0,6791.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
