Delta 50-20,,,,
Region,null,Fuel Cell,'Heat pump - air,'Heat pump - ground
AT,5.1,2.5,1.9,2.6152
BE,5.2,3.9,7.2,2.963
BG,3.2,0.6,0.4,0
CH,12.8,3.2,4.8,2.3964
CY,0.6,0.2,0.3,0.0034
CZ,5.2,2.8,4.3,2.4068
DE,52.8,24.2,37.8,18.3558
DK,4.5,1.4,-0.6,1.6898
EE,1.5,0.4,0.4,0.0608
EL,7.6,0.9,1.4,1.4602
ES,36.2,11.7,4.4,2.3684
FI,9.0,3.7,-1.5,2.6924
FR,72.7,24.6,17.0,13.9892
HR,-2.5,0.6,0.5,1.0604
HU,3.3,1.7,3.9,1.6184
IE,2.1,1.1,2.2,0.7218
IT,114.4,17.7,23.6,7.8468
LT,1.2,0.1,0.3,0.1924
LU,0.6,0.1,0.6,0.2598
LV,2.0,0.4,0.6,0.2428
Mt,0.0,0.0,0.0,0
NL,43.1,6.5,12.0,2.5438
NO,18.3,1.5,1.3,0.0886
PL,29.9,6.8,7.2,5.7172
PT,5.7,2.1,0.3,0
RO,3.7,1.7,1.8,2.389
SE,21.8,2.9,-3.0,1.1888
SI,0.5,0.4,0.4,0.4228
SK,3.3,0.6,1.7,0.8384
UK,234.5,23.4,24.9,9.7634
