,Period  /  Process (TechMetadata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,C_ES-SH-HO_ELC,C_ES-SH-HO_ELC01,C_ES-SH-HR_ELC,C_ES-SH-HR_ELC01,C_ES-SH-HR_ELC03,C_ES-SH-OF_ELC,C_ES-SH-OF_ELC01,C_ES-SH-OF_ELC03,C_ES-SH-SL_ELC,C_ES-SH-SL_ELC01,C_ES-SH-SL_ELC03,C_ES-SH-SR_ELC,C_ES-SH-SR_ELC01,C_ES-SH-SR_ELC03,C_ES-SH-SS_ELC,C_ES-SH-SS_ELC01,C_ES-SH-SS_ELC03,C_ES-WH-HO_ELC01,C_ES-WH-HR_ELC01,C_ES-WH-OF_ELC01,C_ES-WH-OF_GAS,C_ES-WH-SL_ELC01,C_ES-WH-SL_GAS,C_ES-WH-SR_ELC01,C_ES-WH-SR_GAS,C_ES-WH-SS_ELC01,C_ES-WH-SS_GAS,R_ES-SH-DH_ELC01,R_ES-SH-DH_ELC04,R_ES-SH-DH_ELC05,R_ES-SH-DH_ELC07,R_ES-SH-DH_ELC-HPA,R_ES-SH-DH_ELC-HPG,R_ES-SH-DH_ELC-R,R_ES-SH-DH-70_ELC01,R_ES-SH-DH-70_ELC04,R_ES-SH-DH-70_ELC05,R_ES-SH-DH-70_ELC07,R_ES-SH-DH-70_ELC-HPA,R_ES-SH-DH-70_ELC-HPG,R_ES-SH-DH-70_ELC-R,R_ES-SH-FL_ELC01,R_ES-SH-FL_ELC04,R_ES-SH-FL_ELC07,R_ES-SH-FL_ELC-HPA,R_ES-SH-FL_ELC-HPG,R_ES-SH-FL_ELC-R,R_ES-SH-SD_ELC01,R_ES-SH-SD_ELC04,R_ES-SH-SD_ELC05,R_ES-SH-SD_ELC-HPA,R_ES-SH-SD_ELC-HPG,R_ES-SH-SD_ELC-R,R_ES-WH-DH_ELC,R_ES-WH-DH_ELC01,R_ES-WH-FL_ELC,R_ES-WH-FL_ELC01,R_ES-WH-SD_ELC,R_ES-WH-SD_ELC01,C_ES-SH-HO_ELC01,C_ES-SH-HR_ELC01,C_ES-SH-HR_ELC03,C_ES-SH-OF_ELC01,C_ES-SH-OF_ELC03,C_ES-SH-SL_ELC01,C_ES-SH-SL_ELC03,C_ES-SH-SR_ELC01,C_ES-SH-SR_ELC03,C_ES-SH-SS_ELC01,C_ES-SH-SS_ELC03,C_ES-WH-HO_ELC01,C_ES-WH-HR_ELC01,C_ES-WH-OF_ELC01,C_ES-WH-SL_ELC01,C_ES-WH-SR_ELC01,C_ES-WH-SS_ELC01,R_ES-SH-DH_ELC01,R_ES-SH-DH_ELC02,R_ES-SH-DH_ELC04,R_ES-SH-DH_ELC05,R_ES-SH-DH_ELC07,R_ES-SH-DH-70_ELC01,R_ES-SH-DH-70_ELC02,R_ES-SH-DH-70_ELC04,R_ES-SH-DH-70_ELC05,R_ES-SH-DH-70_ELC07,R_ES-SH-FL_ELC01,R_ES-SH-FL_ELC04,R_ES-SH-FL_ELC05,R_ES-SH-FL_ELC07,R_ES-SH-SD_ELC01,R_ES-SH-SD_ELC02,R_ES-SH-SD_ELC04,R_ES-SH-SD_ELC05,R_ES-SH-SD_ELC07,R_ES-WH-DH_ELC01,R_ES-WH-FL_ELC01,R_ES-WH-SD_ELC01
AT,0.2,0.4,0.4,0.8,,1.0,2.0,,0.5,0.9,,0.2,0.3,,0.4,0.8,,0.1,0.3,0.2,,0.1,,0.1,,0.1,,2.0,,5.4,2.6,0.1,0.3,,0.9,,,,0.0,0.2,0.2,4.7,0.7,1.1,0.0,0.2,,1.2,,,0.0,0.1,0.1,0.4,2.7,,2.2,0.0,1.4,0.6,1.1,1.1,2.9,9.3,1.4,4.5,0.5,0.7,1.2,2.6,0.1,0.3,0.3,0.2,0.1,0.1,2.9,,,,24.1,1.2,,,,22.3,8.7,0.0,,8.2,1.8,,,8.6,5.0,3.0,,1.1
BE,1.1,2.1,0.8,1.6,,2.9,5.8,,1.1,2.2,,0.8,1.5,,1.4,2.8,,0.2,0.4,0.5,0.2,0.1,0.0,0.3,0.1,0.1,0.0,1.2,,,,0.0,,,0.6,,1.3,0.4,,,,2.9,0.6,0.2,,,0.0,2.8,,,0.0,0.0,,0.1,1.6,,0.8,0.1,2.6,3.2,2.4,,8.7,17.6,3.3,9.1,2.3,1.8,4.1,8.5,0.4,0.4,0.4,0.1,0.2,0.1,1.4,,,,23.7,1.2,,,,20.2,2.7,,8.7,6.2,7.4,,,40.7,12.0,1.5,,
BG,0.1,0.2,0.2,0.4,,0.5,1.0,,0.3,0.5,,0.1,0.2,,0.2,0.4,,0.2,0.9,0.7,,0.3,,0.2,,0.2,,0.8,,,,,,,1.2,,,,,,,2.2,,,,,,1.8,,,,,,,2.4,,1.9,,1.7,0.3,0.6,0.1,1.6,1.3,0.8,0.6,0.3,0.2,0.5,0.4,0.2,0.8,1.0,0.5,0.2,0.3,4.6,,,,,1.4,1.6,,,,2.6,,,,1.1,,,,,0.1,1.1,1.7
CH,0.3,0.7,0.6,1.2,,1.5,3.2,,0.7,1.5,,0.2,0.5,,0.7,1.5,,0.1,0.4,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0,1.1,,6.1,,0.3,0.2,,0.4,,,,0.1,0.1,0.2,2.1,1.9,1.4,0.2,0.1,,1.8,,,0.2,0.2,0.4,0.7,1.3,0.5,0.7,0.8,1.2,1.1,1.9,5.2,4.9,18.3,2.4,9.3,0.8,1.8,2.4,6.1,0.1,0.4,0.2,0.1,0.1,0.0,1.8,,,0.0,15.2,0.8,,,0.0,19.9,9.9,,1.7,9.6,6.5,,,25.7,6.4,2.2,,
CY,0.1,0.1,0.1,0.2,,0.2,0.4,,0.1,0.1,,0.0,0.0,,0.1,0.2,,0.0,0.1,0.1,,0.0,,0.0,,0.0,,0.0,,,,,,,0.1,,,,,,,0.4,,,,,0.0,0.5,,,,,0.1,,0.5,,0.0,,0.3,0.2,0.3,0.1,0.6,0.2,0.2,0.1,0.1,0.0,0.3,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.8,,,,0.0,0.3,,2.4,,,0.4,,,,0.2,0.7,,,,0.1,0.0,0.4
CZ,0.3,0.6,0.6,1.2,,1.5,3.0,,0.7,1.5,,0.2,0.5,,0.6,1.2,,0.2,0.7,0.4,,0.1,,0.2,0.1,0.1,,1.5,,,,0.0,0.0,,1.0,1.2,,,0.0,0.0,,3.4,0.6,0.5,0.0,0.0,,1.4,,,0.0,0.0,,,3.7,,4.2,,2.1,0.9,1.8,5.3,4.6,14.0,2.2,6.7,0.7,2.3,1.8,4.0,0.2,0.7,0.5,0.2,0.6,0.1,1.7,,0.1,,18.2,0.9,,,,20.1,7.1,1.6,,10.7,1.4,,11.9,,3.2,4.5,1.3,2.6
DE,1.7,3.3,3.1,6.2,,8.0,16.2,,3.8,7.8,,1.3,2.6,,3.6,7.4,,0.5,2.0,1.0,,0.3,,0.6,0.6,0.3,,11.2,,,,0.5,0.7,0.0,3.6,,,,0.2,0.3,1.2,12.6,8.7,6.6,0.3,0.6,,12.9,,,0.4,0.6,0.1,5.4,9.4,6.5,10.9,5.7,9.8,22.4,9.3,64.5,24.2,168.6,11.6,80.7,3.9,27.4,11.1,49.1,0.5,2.0,1.0,0.5,0.6,0.4,12.0,,,,212.8,5.0,,,,81.2,59.9,0.6,9.4,72.2,18.3,,,144.3,36.1,12.8,,6.5
DK,0.6,1.2,0.1,0.2,,0.8,1.7,0.1,0.2,0.4,0.1,0.4,0.8,0.1,0.2,0.5,0.1,0.5,0.2,0.6,,0.2,,0.4,,0.1,,0.2,,15.9,2.1,0.1,0.0,,0.1,,,,0.0,0.0,0.0,2.2,,,0.0,0.0,,0.1,,,0.0,0.0,0.0,0.5,1.0,0.3,0.5,0.3,0.5,1.8,0.3,,2.5,0.6,0.6,0.4,1.2,0.5,0.7,0.3,0.9,0.2,1.2,0.3,0.6,0.2,0.3,,,,27.2,0.1,,,2.8,9.1,4.8,,,,0.2,6.3,,,,1.7,0.9,0.9
