,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NI,NL,NO,PL,PT,RO,RS,SE,SI,SK
2030-01-01 00:00:00+00:00,770,7025.4,1435.4,8023.7,4376.2,6183.5,765,5813.5,41618.7,3802.9,730.9,24951.6,10956.1,61168,27810.8,5617.4,2076.7,3938.3,3696.1,26072,891,1037.2,503.9,648.2,1634.3,213.5,1040.2,10033.1,14638.8,16031.4,5725.4,5738.5,6198.1,12444.3,1328.6,2981.9
2030-01-01 01:00:00+00:00,659.1,6651.6,1303.5,7548.6,4009.1,6023.6,689,5820.1,39313.3,3624.4,702.2,22754.1,10811.9,59644,26306.8,5522.9,1986.5,3724.7,3547.5,23761.1,858.5,1012.6,482.2,572.9,1432.9,203.2,924,9523.6,14185.5,15014.8,5471,5532,5710.9,12124.1,1236.6,2843.9
2030-01-01 02:00:00+00:00,606.4,6388.9,1227.8,7152.4,3806.3,5833.7,640.9,5707.2,38067.2,3538.4,686.9,21361.6,10741.8,57925,25243.7,5264.4,1929.5,3486.1,3440.4,22263.6,843.8,976.6,470.2,516.9,1263.8,196.2,891.6,9174.9,13920,14330.4,5069.3,5438.3,5267.2,11929.8,1186.7,2757.9
2030-01-01 03:00:00+00:00,583.7,6223.7,1197.7,6897.3,3714.4,5704.5,614.8,5578.5,37916.6,3520.1,686,20672,10779.7,54581,23923.2,5089.1,1891.1,3368,3377.3,21438.9,848.8,967.9,478.9,487.1,1164.6,194.2,850.8,9004,13789.5,14043.4,4698.3,5402.1,4950.5,11896.7,1167.1,2735.5
2030-01-01 04:00:00+00:00,592.8,6484.8,1210.2,6849.2,3714.5,5503.4,608.1,5638.5,38703.9,3564.3,718.1,20419.8,10999.3,52527,22823.4,5145.5,1915.6,3452.3,3343.7,21224.6,905.2,945.9,513.7,471.6,1127.2,199.6,820,8968.1,13823.2,14076.6,4460.9,5446.5,4810.4,12031.5,1173.5,2790.9
2030-01-01 05:00:00+00:00,677.3,7361,1304.7,7181.6,3874,5673.2,630,6014.7,41333,3803.1,841.6,20852.3,11572,52185,22047.6,5664,2029.7,3797.8,3348.5,22358.7,1123,956.3,618.2,479.4,1140.9,222.4,811.6,9261.7,14246.4,14683.4,4328.1,5614.9,4957,12639.7,1276.4,2936.4
2030-01-01 06:00:00+00:00,919.6,8595.9,1524.5,8111,4393.5,6154.5,696.8,6946.7,47713.5,4452.1,996.8,22898,11902.4,52450,22747,6623.2,2314.2,4570.8,3467.5,26366.8,1335.6,981.5,753.4,528.5,1233.8,271.8,826.1,10232.5,15473.6,16992.4,4274.8,6061.9,5486.8,14085.2,1561.6,3307.9
2030-01-01 07:00:00+00:00,1250.6,9443,1756.6,8935.3,4992.5,6916.8,787.8,7419.1,53855,5170.1,1099.7,26701.5,12080,52769,27143.9,7180.4,2617.8,4876.4,3763.1,31452.5,1458.5,1068,843.4,594.6,1261.5,310.6,957,11907.9,17053.9,18897,4113.1,6751.9,6054.3,15502.2,1749.1,3476.2
2030-01-01 08:00:00+00:00,1365.2,9753.1,1937,9290.7,5426.7,7340.7,849.8,7541.2,56328,5385.6,1122.8,29478.1,12018.5,54738,32707.8,7869.7,2805.6,4944.9,3947.9,35187.6,1499.6,1138.1,876.9,667,1373.5,326.3,1209.8,13009.7,17559.4,19810.2,4079.1,7083.1,6399.2,15814.5,1814.8,3591
2030-01-01 09:00:00+00:00,1373.1,9867.8,2011.8,9367.6,5613.1,7401.3,861.2,7682.2,56731.6,5385.5,1126.2,30674.9,11904.8,57264,34253.7,8137.4,2882.6,5022.2,3993.6,37221.5,1502,1149.5,882.2,706,1455.1,329.9,1342.6,13348.5,17398.6,20431,4468.2,7197,6575.4,15759.8,1818.9,3650.7
