,COMC,GTUR,HDAM,HPHS,HROR,ICEN,STUR,WTOF,WTON,PHOT,BEVS,BATS
IS,0,0,2615,0,0,0,0,0,0,1,1,1
AL,700,0,2402,0,468,0,0,0,150,1,1,1
AT,3991.455547,172.5444532,4787.518,6055.333,4671.89977,0,0,0,5000,1,1,1
BA,0,0,680,440,1144,0,0,0,640,1,1,1
BE,5014.862738,1337.137262,158,1150,117,0,0,2310,3298,1,1,1
BG,69.18909091,70.49454545,1867,933,600,0,578.3163636,0,1250,1,1,1
CH,0,0,8987,4593,4139,0,0,0,370,1,1,1
CY,660,0,0,0,0,0,0,0,275,1,1,1
CZ,1379,0,50,1000,365,0,0,0,950,1,1,1
DE,26968.50496,5836.759663,0,9500,5600,0,2394.735379,17000,81500,1,1,1
DK,93.80095483,105.8024238,0,0,6.6082,0,230.3966214,2905,5596,1,1,1
EE,0,0,0,0,10,0,0,0,1500,1,1,1
EL,4567.919911,1030.567297,2720,1289,275,105.609937,555.902855,300,5900,1,1,1
ES,22506.11929,1447.052319,10920,8280,3850,606.8283917,0,0,31000,1,1,1
FI,642.5128205,831.4871795,3200,0,0,0,0,700,2300,1,1,1
FR,7351.570105,3914.84126,8197,5500,13797,0,229.588635,7000,36336,1,1,1
HR,1042.520776,257.4792244,2000,300,500,0,0,0,1500,1,1,1
HU,2261.260095,802.1254076,0,0,60,115.6144971,0,0,1000,1,1,1
IE,2540.903659,679.7638852,0,442,216,0,560.3324559,700,5500,1,1,1
IT,31313.48445,1054.949304,10724.07272,5731.79697,5637.334088,336.1302411,0,654.5,15575,1,1,1
LT,123.0964706,0,0,1125,138,0,340.9035294,0,750,1,1,1
LU,0,0,284,1026,34,0,0,0,200,1,1,1
LV,1001.677982,0,1619,0,0,0,29.32201835,150,300,1,1,1
ME,0,0,1139,0,132,0,0,0,250,1,1,1
MK,290,0,647,0,151,0,0,0,100,1,1,1
MT,375,0,0,0,0,0,0,0,0,1,1,1
NL,6009.700623,1244.633038,0,0,38,0,338.4663391,11500,6722.98,1,1,1
NO,215.9352518,219.0647482,34702.192,1114.708,0,0,0,0,3330.3,1,1,1
PL,5741,0,-75,1488,1033,0,0,2250,9200,1,1,1
PT,3014.222931,344.919535,4346.3,4119.9,734.7,316.0346478,51.8228858,60,5554,1,1,1
RO,869.0761722,120.2620697,3309.9157,0,3290.562067,0,2251.757758,0,4200,1,1,1
RS,580,0,503,1260,2025,0,0,0,1068,1,1,1
SE,0,0,16184,0,0,0,0,190,10780,1,1,1
SI,96.9022869,298.0977131,0,600,1500,0,0,0,80,1,1,1
SK,182.361778,59.048222,806,1486,974,0,0,0,264.5,1,1,1
TR,29415,0,26625,0,11411,0,0,0,20170,1,1,1
UK,30736.89214,817.885178,1553,100,142,154.6681502,263.5545279,22182,17665,1,1,1
,,,,,,,,,,,,
