TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[GW or GWh]	[MCHCapitalf/GW]	 [MCHCapitalf/GW]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.849000	0.037106	0.000000	%f\t
CCGT	0.000000	0.000000	25.000000	0.000000	0.000000	10.000000	0.000000	0.000000	1.000000	0.850000	0.058231	0.000000	%f\t
CCGT_CCS	0.000000	0.000000	25.000000	0.000000	0.000000	10.000000	0.000000	0.000000	1.000000	0.850000	0.058231	0.000000	%f\t
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	10.000000	0.000000	0.000000	1.000000	0.868000	0.047393	0.000000	%f\t
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	10.000000	0.000000	0.000000	1.000000	0.856000	0.047393	0.000000	%f\t
COAL_US_CCS	0.000000	0.000000	35.000000	0.000000	0.000000	10.000000	0.000000	0.000000	1.000000	0.868000	0.047393	0.000000	%f\t
COAL_IGCC_CCS	0.000000	0.000000	35.000000	0.000000	0.000000	10.000000	0.000000	0.000000	1.000000	0.856000	0.047393	0.000000	%f\t
PV	0.000000	0.000000	25.000000	0.000000	0.000000	25.000000	0.000000	0.000000	0.500000	1.000000	0.058231	0.000000	%f\t
WIND	0.000000	0.000000	20.000000	0.000000	0.000000	5.300000	0.000000	0.000000	0.500000	1.000000	0.067995	0.000000	%f\t
HYDRO_DAM	39013.391200	195.051200	40.000000	8.080000	8.080000	8.080000	0.000000	0.177490	1.000000	1.000000	0.044141	13678.470400	%f\t
NEW_HYDRO_DAM	0.000000	0.000000	40.000000	0.000000	0.000000	0.440000	0.000000	0.000000	1.000000	1.000000	0.044141	0.000000	%f\t
HYDRO_RIVER	20472.386000	204.706000	40.000000	3.800000	3.800000	3.800000	0.000000	0.184148	1.000000	1.000000	0.044141	4798.716000	%f\t
NEW_HYDRO_RIVER	0.000000	0.000000	40.000000	0.000000	0.000000	0.850000	0.000000	0.000000	1.000000	1.000000	0.044141	0.000000	%f\t
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.700000	0.000000	0.000000	1.000000	0.860000	0.051847	0.000000	%f\t
NEWSOLAR_TURBINE	2360.263778	0.000000	25.000000	0.000000	6.743611	20.000000	0.000000	0.638363	1.000000	1.000000	0.058231	0.000000	%f\t
IND_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.500000	0.850000	0.058231	0.000000	%f\t
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	0.000000	1.000000	0.850000	0.058231	0.000000	%f\t
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.500000	0.850000	0.058231	0.000000	%f\t
IND_BOILER_GAS	5.090025	0.101979	17.000000	0.000000	0.080935	20.000000	0.000000	0.014501	0.600000	0.950000	0.076719	0.997124	%f\t
IND_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	20.000000	0.000000	0.000000	1.000000	0.900000	0.076719	0.000000	%f\t
IND_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.500000	0.950000	0.076719	0.000000	%f\t
IND_BOILER_COAL	90.562479	1.811250	17.000000	0.000000	0.736280	20.000000	0.000000	0.305172	0.500000	0.900000	0.076719	35.473986	%f\t
IND_BOILER_WASTE	142.541014	2.850820	17.000000	0.000000	1.158870	20.000000	0.000000	0.480327	1.000000	0.900000	0.076719	33.456578	%f\t
IND_DIRECT_ELEC	208.135388	0.944177	15.000000	0.000000	0.586446	20.000000	0.000000	0.200000	0.200000	0.950000	0.084526	0.862075	%f\t
DHN_HP_ELEC	738.884237	25.708523	25.000000	0.000000	2.006910	20.000000	0.000000	0.500000	0.500000	0.950000	0.058231	350.787886	%f\t
DHN_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.500000	0.850000	0.058231	0.000000	%f\t
DHN_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	0.000000	1.000000	0.850000	0.058231	0.000000	%f\t
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.500000	0.850000	0.058231	0.000000	%f\t
DHN_BOILER_GAS	120.247768	2.409162	17.000000	0.000000	1.912033	20.000000	0.200000	0.200000	0.800000	0.950000	0.076719	23.556249	%f\t
