Time	DAM_STORAGE	LNG_STO	PHES	BATT_LI	BEV_BATT	PHEV_BATT	NEWSOLAR_STORAGE	DAM_STORAGE_in	DAM_STORAGE_out	LNG_STO_in	LNG_STO_out	PHES_in	PHES_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	NEWSOLAR_STORAGE_in	NEWSOLAR_STORAGE_out	
 1	4797.870776	0.000000	169.477546	0.000000	0.857962	0.045086	0.000000	-0.670666	0.415238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011690	0.011690	-0.001648	0.001648	0.000000	0.000000	
 2	4798.032835	0.000000	169.477546	0.000000	0.857790	0.045077	0.000000	-0.668582	0.506523	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004676	0.004676	-0.000659	0.000659	0.000000	0.000000	
 3	4798.699319	0.000000	169.477546	0.000000	0.885681	0.049788	0.000000	-0.666484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.030400	0.002338	-0.005049	0.000330	0.000000	0.000000	
 4	4798.584110	0.000000	169.477546	0.000000	0.857447	0.045822	0.000000	-0.664393	0.779602	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028057	0.000000	0.003955	0.000000	0.000000	
 5	4796.961481	0.000000	169.477546	0.000000	0.857276	0.045050	0.000000	-0.662295	2.284925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.074818	0.074818	-0.009785	0.010548	0.000000	0.000000	
 6	4794.503884	0.000000	169.477546	0.000000	0.857104	0.045041	0.000000	-0.660198	3.117794	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.187045	0.187045	-0.026370	0.026370	0.000000	0.000000	
 7	4791.275233	0.000000	169.477546	0.000000	0.856933	0.045032	0.000000	-0.658100	3.886751	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.362400	0.362400	-0.051091	0.051091	0.000000	0.000000	
 8	4788.887411	0.000000	169.477546	0.000000	0.856762	0.045023	0.000000	-0.655995	3.043817	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.315638	0.315638	-0.044499	0.044499	0.000000	0.000000	
 9	4786.749989	0.000000	169.477546	0.000000	0.856590	0.045014	0.000000	-0.653898	2.791320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.292258	0.292258	-0.041203	0.041203	0.000000	0.000000	
 10	4784.561959	0.000000	169.477546	0.000000	0.856419	0.045005	0.000000	-0.651813	2.839843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.327330	0.327330	-0.046147	0.046147	0.000000	0.000000	
 11	4782.300537	0.000000	169.477546	0.000000	0.856248	0.044996	0.000000	-0.649709	2.911131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374090	0.374090	-0.052740	0.052740	0.000000	0.000000	
 12	4779.980722	0.000000	169.477546	0.000000	0.856076	0.044987	0.000000	-0.647611	2.967427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.411500	0.411500	-0.058014	0.058014	0.000000	0.000000	
 13	4777.739116	0.000000	169.477546	0.000000	0.855905	0.044978	0.000000	-0.645513	2.887119	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374090	0.374090	-0.052740	0.052740	0.000000	0.000000	
 14	4775.745094	0.000000	169.477546	0.000000	0.855734	0.044969	0.000000	-0.643416	2.637438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.378766	0.378766	-0.053399	0.053399	0.000000	0.000000	
