Time	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	
 1	10.953698	38.046545	11.316574	0.000000	0.000000	0.000000	0.000000	0.000000	4.191582	0.000000	2.263334	0.000000	0.000000	2.310155	-0.286647	0.000000	0.000000	4.364223	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.612122	0.000000	0.000000	0.000000	0.872852	0.000000	0.000000	
 2	8.456330	38.331601	6.859102	0.000000	0.000000	0.000000	0.000000	0.000000	2.544922	0.000000	1.371832	0.000000	0.000000	2.489208	-0.286647	0.000000	0.000000	4.364223	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.612122	0.000000	0.000000	0.000000	0.872852	0.000000	0.000000	
 3	6.594203	38.616646	2.438360	0.000000	0.000000	0.000000	0.000000	0.000000	0.911830	0.000000	0.487676	0.000000	0.000000	1.855826	-0.286647	0.000000	0.000000	4.364223	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.612122	0.000000	0.000000	0.000000	0.872852	0.000000	0.000000	
 4	4.694981	38.901679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.894310	-0.286647	0.000000	0.000000	2.418268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.904316	0.000000	0.000000	0.000000	0.483658	0.000000	0.000000	
 5	2.365053	39.186700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.326430	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 6	0.007264	39.471709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.356027	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 7	0.000000	39.756706	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007258	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 8	0.000000	40.041692	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 9	0.000000	40.326665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 10	0.000000	40.611626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 11	0.000000	40.896576	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 12	0.000000	41.181514	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 13	0.000000	41.466439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 14	0.029512	41.751353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.029512	0.000000	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 15	0.000000	42.036255	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029490	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 16	0.154769	42.321145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.154769	0.000000	-0.286647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
 17	1.682431	42.606023	2.167065	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433417	0.000000	-1.527777	0.000000	-0.286647	0.000000	-2.167065	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.433417	0.000000	0.000000	0.000000	
 18	3.203478	42.851977	4.546183	0.000000	0.000000	0.000000	0.000000	0.000000	0.942929	0.000000	0.909244	0.000000	-1.522301	0.000000	-0.247735	0.000000	-2.396975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.942929	0.000000	0.000000	0.000000	-0.479399	0.000000	0.000000	0.000000	
 19	5.460504	42.563538	7.141201	0.000000	0.000000	0.000000	0.000000	0.000000	2.050290	0.000000	1.428252	0.000000	-2.259413	0.000000	0.000000	0.286647	-2.632479	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.115131	0.000000	0.000000	0.000000	-0.526500	0.000000	0.000000	0.000000	
 20	7.766172	42.275112	9.773295	0.000000	0.000000	0.000000	0.000000	0.000000	3.171978	0.000000	1.954675	0.000000	-2.309735	0.000000	0.000000	0.286647	-2.690937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.138582	0.000000	0.000000	0.000000	-0.538192	0.000000	0.000000	0.000000	
 21	10.046443	41.986698	12.356194	0.000000	0.000000	0.000000	0.000000	0.000000	4.273389	0.000000	2.471260	0.000000	-2.286058	0.000000	0.000000	0.286647	-2.663431	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.127548	0.000000	0.000000	0.000000	-0.532691	0.000000	0.000000	0.000000	
 22	11.786346	41.698296	14.292057	0.000000	0.000000	0.000000	0.000000	0.000000	5.114700	0.000000	2.858436	0.000000	-1.747387	0.000000	0.000000	0.286647	-2.037678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.876523	0.000000	0.000000	0.000000	-0.407539	0.000000	0.000000	0.000000	
 23	12.949282	41.409906	15.543234	0.000000	0.000000	0.000000	0.000000	0.000000	5.680810	0.000000	3.108673	0.000000	-1.171717	0.000000	0.000000	0.286647	-1.368943	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.608256	0.000000	0.000000	0.000000	-0.273791	0.000000	0.000000	0.000000	
 24	13.273742	41.121528	15.811080	0.000000	0.000000	0.000000	0.000000	0.000000	5.851923	0.000000	3.162243	0.000000	-0.334107	0.000000	0.000000	0.286647	-0.395922	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.217923	0.000000	0.000000	0.000000	-0.079185	0.000000	0.000000	0.000000	
