Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LCapitalfO	LNG	NG	NG_CCS	SNG	WOOD	COAL	COAL_CCS	URANIUM	WASTE	H2	ELEC_EXPORT	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	NEWSOLAR_HEAT	NUCLEAR	CCGT	CCGT_CCS	COAL_US	COAL_IGCC	COAL_US_CCS	COAL_IGCC_CCS	PV	WIND	HYDRO_DAM	NEW_HYDRO_DAM	HYDRO_RIVER	NEW_HYDRO_RIVER	GEOTHERMAL	NEWSOLAR_TURBINE	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_CapitalfC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_CapitalfUEL_CELL	TRAIN_CapitalfREIGHT	TRUCK	ECapitalfCapitalfICIENCY	DHN	GRID	POWER2GAS_in	POWER2GAS_out	POWER2GAS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASICapitalfICATION_SNG	PYROLYSIS	NEWSOLAR_SOLTOHEAT	DAM_STORAGE_Pin	DAM_STORAGE_Pout	LNG_STO_Pin	LNG_STO_Pout	PHES_Pin	PHES_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	NEWSOLAR_STORAGE_Pin	NEWSOLAR_STORAGE_Pout	END_USE	
 1 	 1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.137056	0.000000	1.321257	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.691463	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.623540	-0.014181	0.000000	0.000000	0.000000	0.000000	-0.031469	0.000000	0.000000	0.000000	0.000000	-0.001566	-0.011106	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018108	0.000000	0.000000	0.000000	0.000000	0.000000	-1.137056	1.275817	0.000000	0.000000	0.000000	0.236992	0.000000	0.000000	-0.012306	0.011106	-0.001735	0.001566	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.300864	
 1 	 2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.139000	0.000000	1.320597	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.736158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.678179	-0.005673	0.000000	0.000000	0.000000	0.000000	-0.012587	0.000000	0.000000	0.000000	0.000000	-0.000626	-0.004442	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007243	0.000000	0.000000	0.000000	0.000000	0.000000	-1.139000	0.000000	0.000000	0.000000	0.000000	1.542847	0.000000	0.000000	-0.004922	0.004442	-0.000694	0.000626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.277586	
 1 	 3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.141077	0.000000	1.320047	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.444512	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.321643	-0.002836	0.000000	0.000000	0.000000	0.000000	-0.006294	0.000000	0.000000	0.000000	0.000000	-0.000313	-0.002221	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003622	0.000000	0.000000	0.000000	0.000000	0.000000	-1.141077	0.000000	0.000000	0.000000	0.000000	0.891527	0.000000	0.000000	-0.002461	0.002221	-0.000347	0.000313	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.289459	
 1 	 4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.143088	0.000000	1.319460	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.699450	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.324445	-0.034036	0.000000	0.000000	0.000000	0.000000	-0.075525	0.000000	0.000000	0.000000	0.000000	-0.003758	-0.026654	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.043458	0.000000	0.000000	0.000000	0.000000	0.000000	-1.143088	2.300671	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.029533	0.026654	-0.004164	0.003758	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.269118	
 1 	 5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.145098	0.000000	1.318800	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.841414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.561899	-0.090761	0.000000	0.000000	0.000000	0.000000	-0.201399	0.000000	0.000000	0.000000	0.000000	-0.010021	-0.071077	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.115889	0.000000	0.000000	0.000000	0.000000	0.000000	-1.145098	2.951645	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.078756	0.071077	-0.011103	0.010021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.228822	
 1 	 6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.147042	0.000000	1.318214	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.841414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.623540	-0.226903	0.000000	0.000000	0.000000	0.000000	-0.503498	0.000000	0.000000	0.000000	0.000000	-0.025051	-0.177693	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.289723	0.000000	0.000000	0.000000	0.000000	0.000000	-1.147042	3.751612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.196890	0.177693	-0.027758	0.025051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.219700	
 1 	 7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.149120	0.000000	1.317554	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.841414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.296427	-0.439625	0.000000	0.000000	0.000000	0.000000	-0.975526	0.000000	0.000000	0.000000	0.000000	-0.048537	-0.344280	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.561337	0.000000	0.000000	0.000000	0.000000	0.000000	-1.149120	4.597000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.381473	0.344280	-0.053781	0.048537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.224570	
 1 	 8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.151130	0.000000	1.317004	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.521511	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.860035	-0.382899	0.000000	0.000000	0.000000	0.000000	-0.849650	0.000000	0.000000	0.000000	0.000000	-0.042274	-0.299856	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.488906	0.000000	0.000000	0.000000	0.000000	0.000000	-1.151130	3.556186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.332251	0.299856	-0.046841	0.042274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.250696	
 1 	 9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.153141	0.000000	1.316307	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.456769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.780889	-0.354537	0.000000	0.000000	0.000000	0.000000	-0.786715	0.000000	0.000000	0.000000	0.000000	-0.039143	-0.277645	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.452692	0.000000	0.000000	0.000000	0.000000	0.000000	-1.153141	3.290892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.307640	0.277645	-0.043371	0.039143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.284186	
 1 	 10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.155218	0.000000	1.315757	0.000000	0.000000	6.743611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.195317	-0.501728	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.371394	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.676518	-0.397082	0.000000	0.000000	0.000000	0.000000	-0.881123	0.000000	0.000000	0.000000	0.000000	-0.043840	-0.310963	0.000000	-0.186967	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.507016	0.000000	0.000000	0.000000	0.000000	0.000000	-1.155218	3.379878	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.344558	0.310963	-0.048576	0.043840	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.328967	
