Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	0.000000	0.000000
CCGT_CCS	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
COAL_US_CCS	0.000000	0.000000
COAL_IGCC_CCS	0.000000	0.000000
PV	0.000000	0.000000
WIND	0.000000	0.000000
HYDRO_DAM	341.961760	0.000000
NEW_HYDRO_DAM	0.000000	0.000000
HYDRO_RIVER	119.967900	0.000000
NEW_HYDRO_RIVER	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000
NEWSOLAR_TURBINE	0.000000	0.000000
IND_COGEN_GAS	0.000000	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	0.058654	0.000000
IND_BOILER_WOOD	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000
IND_BOILER_COAL	2.086705	0.000000
IND_BOILER_WASTE	1.968034	0.000000
IND_DIRECT_ELEC	0.057472	0.000000
DHN_HP_ELEC	14.031515	0.000000
DHN_COGEN_GAS	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_BOILER_GAS	1.385662	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000
DHN_DEEP_GEO	20.987338	0.000000
DEC_HP_ELEC	55.671213	0.000000
DEC_THHP_GAS	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	3.105121	0.000000
DEC_BOILER_WOOD	0.000000	0.000000
DEC_BOILER_OIL	1.507892	0.000000
DEC_SOLAR	0.000000	0.000000
DEC_DIRECT_ELEC	0.367690	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_CapitalfC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_CapitalfUEL_CELL	0.000000	0.000000
TRAIN_CapitalfREIGHT	0.000000	0.000000
TRUCK	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000
LNG_STO	0.000000	0.000000
PHES	76.844250	0.000000
BATT_LI	0.000000	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
NEWSOLAR_STORAGE	0.000000	0.000000
ECapitalfCapitalfICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
POWER2GAS_in	0.000000	0.000000
POWER2GAS_out	0.000000	0.000000
POWER2GAS	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
H2_NG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
GASICapitalfICATION_SNG	0.000000	0.000000
PYROLYSIS	0.000000	0.000000
NEWSOLAR_SOLTOHEAT	0.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	2607.024226
DIESEL	0.000000	4358.071171
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LCapitalfO	0.000000	1588.170065
LNG	0.000000	0.000000
NG	0.000000	3757.834870
NG_CCS	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	0.000000	0.000000
COAL	0.000000	2841.508636
COAL_CCS	0.000000	0.000000
URANIUM	0.000000	0.000000
WASTE	0.000000	1672.414200
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
NEWSOLAR_HEAT	0.000000	0.000000
