0,BIO,Biogas,GAS,GEO,HRD,HYD,LIG,NUC,OIL,Ocean,SUN,WAT,WIN
AT,2061,30,10540,474,0,0,246,0,0,0,78132,12019,12362
BE,1642,0,26647,197,0,0,0,0,0,36,129067,105,21994
BG,271,64,5057,628,479,0,1303,475,0,0,32493,1984,6935
CH,450,68,8652,295,0,0,0,0,0,0,15550,13594,12125
CY,0,25,772,0,0,0,0,0,390,0,23595,0,0
CZ,1597,0,12602,342,800,0,1684,1926,0,0,26774,1300,41890
DE,10153,11,130059,2475,0,0,4089,0,465,216,267570,4843,212517
DK,1504,69,9757,209,12,0,0,0,0,0,12772,0,47931
EE,311,85,3646,0,0,0,0,0,0,0,4839,0,8711
EL,401,0,7960,0,0,378,833,0,251,0,112535,2407,6791
ES,4112,0,59648,64,0,0,97,1460,0,33,368480,13884,80422
FI,2397,377,12647,0,0,0,0,140,466,0,23937,4656,39714
FR,4191,1600,87898,74,0,0,600,17618,1945,11263,154564,27683,310005
HR,170,0,3230,227,0,0,1095,0,0,0,3043,2169,563
HU,563,612,10163,335,0,0,0,386,77,0,7497,49,12701
IE,545,0,5297,318,2,0,0,0,0,2790,0,412,5396
IT,6027,529,77092,817,0,0,150,0,0,0,442648,22100,90694
LT,240,175,2787,209,0,0,0,0,18,0,5548,116,9653
LU,75,0,3703,0,0,0,0,0,0,0,10370,62,300
LV,52,0,2012,0,0,113,0,0,0,0,3698,1536,6061
MT,0,0,463,0,0,0,0,0,0,0,1350,0,249
NL,2586,43,38169,192,0,0,0,0,135,457,48627,37,92629
NO,1013,0,3309,0,0,506,0,0,0,0,5094,27222,14144
PL,3756,55,39651,1142,0,0,9983,0,400,0,52725,2576,99254
PT,1159,0,7703,665,0,0,0,0,0,0,60916,5650,7290
RO,457,0,11174,0,885,0,0,593,0,0,10928,6335,14557
SE,1584,485,8087,0,0,9249,0,2251,2780,0,40798,18314,93412
SI,351,35,3151,90,0,0,250,0,0,0,12547,2254,2425
SK,614,25,7020,288,440,0,9,872,0,0,17871,1993,19001
UK,6380,0,109621,981,0,0,448,0,0,13360,124678,2312,263647
