PowerCapacity,Unit,Year,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits,COP,Tnominal,coef_COP_a,coef_COP_b
25.0,Vao,2009.0,BE,STUR,PEA,0.4,4.0,6.0,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.0,Extraction,0.5,0.2,,,,,,,,,,
180.0,Rodenhuize,2009.0,BE,STUR,BIO,0.4,4.0,6.0,0.02,0.02,120.0,12.5,1.3,0.4,0.35,1.0,0.0,Extraction,0.45,0.23800000000000002,,,,,,,,,,
25.0,PZ Osatina_Bovis,1989.0,HR,ICEN,BIO,0.36,1.0,1.0,0.04,0.04,24.0,0.0,0.63,0.25,0.49,1.0,0.0,back-pressure,0.75,0.0,,,,,,,,,,
420.0,Amercoeur,2009.0,BE,COMC,GAS,0.51,3.0,3.0,0.07,0.07,55.0,0.0,0.25,0.062171053,0.57,1.0,0.42,Extraction,0.95,0.213,,,,,,,,,,
64.0,Angleur 4 GT 1,2012.0,BE,GTUR,GAS,0.33,1.0,1.0,0.166666667,0.166666667,25.0,0.0,0.0,0.2,0.33,0.166666667,0.727272727,back-pressure,0.55,0.0,,,,,,,,,,
120.0,Herrenhausen B,1975.0,DE,STUR,GAS,0.368,1.0,1.0,0.02,0.02,25.0,0.0,0.0,0.4,0.38,0.166666667,0.6521739129999999,Extraction,0.4666,0.23,,,,,,,,,,
10.0,Wartsila 34SG,2017.0,UK,ICEN,GAS,0.36,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.666666667,back-pressure,0.75,0.0,,,,,,,,,,
10.0,Wartsila_fake,2017.0,UK,STUR,GAS,0.36,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.666666667,back-pressure,0.75,0.0,,,,,,,,,,
40.0,Svartsengi,2014.0,IC,STUR,GEO,0.1,2.0,2.0,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,Extraction,0.22,0.16899999999999998,,,,,,,,,,
764.0,Westfalen D,2015.0,DE,STUR,HRD,0.42,6.0,6.0,0.04,0.04,65.0,12.5,1.8,0.182119205,0.46,2.0,0.81,Extraction,0.45,0.256,,,,,,,,,,
604.0,Neurath E,1976.0,DE,STUR,LIG,0.4,8.0,8.0,0.007692308,0.007692308,65.0,8.0,2.2,0.43,0.395,7.0,1.15,Extraction,0.45,0.23600000000000002,,,,,,,,,,
1008.0,Tihange 2,1983.0,BE,STUR,NUC,0.34,24.0,48.0,0.05,0.05,300.0,0.0,0.0,0.25,0.34,12.0,0.0,,,,,,,,,,,,,
386.0,Ingolstadt 3 - Großmehring,1973.0,DE,STUR,OIL,0.33,5.0,5.0,0.02,0.02,120.0,0.0,1.8,0.4,0.33,1.0,0.799636364,Extraction,0.45,0.11,,,,,,,,,,
70.0,GTUR Oil,1973.0,DE,GTUR,OIL,0.33,0.0,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.2,0.33,0.166666667,0.799636364,back-pressure,0.55,0.0,,,,,,,,,,
48.0,Müllheizkraftwerk Essen-Karnap,1987.0,DE,STUR,WST,0.2,5.0,5.0,0.02,0.02,65.0,0.0,1.8,0.4,0.2,1.0,0.0,Extraction,0.4,0.23,,,,,,,,,,
45.0,Icen Zgb,1970.0,HR,ICEN,WST,0.42,1.0,1.0,0.04,0.04,24.0,0.0,0.63,0.25,0.49,1.0,0.0,back-pressure,0.81,0.14,,,,,,,,,,
0.0,HR_EVs,2016.0,HR,BEVS,OTH,0.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,,,,0.0,0.0,0.0,0.95,,,,,,
