,AT,BE,BG,CZ,DK,DE,EE,IE,ES,FR,HR,IT,LV,LT,LU,HU,NL,PL,PT,RO,SI,SK,FI,SE,NO,CH,UK,EL
01/01/2016 00:00,-2.409,4.527,-9.218,-3.91,3.916,1.715,-8.206,1.749,6.585,4.899,-2.542,2.794,-10.291,-13.063,2.702,-6.628,5.081,-8.698,8.241,-9.633,-3.978,-9.989,-6.328,-3.506,-2.575,-0.272,2.628,-1.991
01/01/2016 01:00,-2.319,4.402,-9.485,-3.72,3.897,1.651,-8.133,1.882,6.48,4.772,-2.428,2.756,-10.25,-12.971,2.517,-6.842,5.148,-8.746,8.049,-9.861,-3.873,-9.924,-6.578,-3.397,-2.523,-0.453,2.397,-1.981
01/01/2016 02:00,-2.242,4.258,-9.77,-3.544,3.786,1.59,-8.116,2.092,6.405,4.682,-2.358,2.705,-10.227,-12.831,2.342,-7.032,5.242,-8.753,7.877,-10.072,-3.666,-9.777,-6.875,-3.321,-2.488,-0.641,2.267,-1.994
01/01/2016 03:00,-2.237,4.224,-10.048,-3.377,3.624,1.564,-8.124,2.328,6.364,4.563,-2.358,2.641,-10.229,-12.704,2.37,-7.225,5.141,-8.811,7.799,-10.238,-3.572,-9.686,-7.229,-3.273,-2.446,-0.778,2.152,-2.027
01/01/2016 04:00,-2.325,4.251,-10.292,-3.248,3.502,1.521,-8.188,2.578,6.38,4.454,-2.361,2.53,-10.241,-12.541,2.463,-7.42,5.066,-8.856,7.862,-10.411,-3.581,-9.656,-7.59,-3.246,-2.402,-0.855,2.096,-2.082
01/01/2016 05:00,-2.332,4.207,-10.49,-3.135,3.496,1.49,-8.263,2.886,6.405,4.351,-2.327,2.43,-10.208,-12.31,2.482,-7.601,5.024,-8.895,7.999,-10.572,-3.711,-9.682,-7.88,-3.224,-2.344,-0.939,2.161,-2.096
01/01/2016 06:00,-2.313,4.042,-9.487,-3.071,3.595,1.443,-8.372,3.247,6.445,4.245,-2.249,2.391,-10.118,-12.04,2.464,-7.698,4.956,-8.904,8.325,-10.149,-3.804,-9.733,-8.171,-3.193,-2.3,-1.094,2.293,-1.197
01/01/2016 07:00,-1.982,3.821,-7.065,-2.844,3.748,1.47,-8.415,3.605,6.546,4.208,-1.533,3.1,-9.888,-11.466,2.515,-6.79,4.827,-8.401,8.767,-8.313,-3.063,-8.759,-8.442,-3.137,-2.307,-1.191,2.422,0.399
01/01/2016 08:00,-0.98,3.971,-4.517,-2.245,3.889,1.997,-8.187,4.067,7.391,4.769,-0.354,4.574,-9.252,-9.992,2.759,-5.39,4.864,-7.353,9.56,-6.29,-1.789,-7.066,-8.62,-3.056,-2.376,-0.243,2.581,1.775
01/01/2016 09:00,0.072,4.53,-2.56,-1.518,4.117,2.601,-8.016,4.577,8.624,5.57,0.851,6.011,-8.659,-8.831,3.182,-3.63,5.469,-6.247,10.81,-4.856,-0.326,-5.469,-8.679,-2.878,-2.398,0.98,3.064,2.973
