,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,STOMaxDischargingPower,STODischargingEfficiency
EE_COMC_GAS,EE_COMC_GAS,370.84289287947826,6.0,EE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,,,
EE_STUR_GAS,EE_STUR_GAS,115.49522022692754,12.0,EE,STUR,GAS,0.368,1,1,0.02,0.02,25,2.9,0.25,0.4,0.38,0.166666667,0.531963913,,,,,,,,,,,,,,
EE_COMC_BIO,EE_COMC_BIO,238.0,1.0,EE,COMC,BIO,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.211692827,,,,,,,,,,,,,,
EE_WTOF_WIN,EE_WTOF_WIN,868.0,1,EE,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
EE_WTON_WIN,EE_WTON_WIN,7843.0,1,EE,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
EE_PHOT_SUN,EE_PHOT_SUN,4839.0,1,EE,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
EE_ALK_H2_HYD,EE_ALK_H2_HYD,7656.0,1,EE,ALK_H2,HYD,0.6,0,0,1.0,1.0,0,0.0,0.0,0.15,0.6,0.0,0.0,,,,,,,,1748888.888888889,0.0,7656.0,0.6,,0.0,0.46
EE_BEVS_OTH,EE_BEVS_OTH,4961.0,1,EE,BEVS,OTH,0.95,0,0,1.0,1.0,0,0.0,0.0,0.0,0.95,0.0,0.0,,,,,,,,20340.1,0.0,4961.0,0.95,,,
EE_P2HT_OTH,EE_P2HT_OTH,0.0029999978197690264,458667.0,EE,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.1853893866299103,5.0,0.025375561002518587,0.000867751237363363,0.014999989098845132,0.03,,,,,
EE_STUR_BIO_CHP,EE_STUR_BIO_CHP,73.0,1.0,EE,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,1946.6666666666667,0.03,,,,,
EE_COMC_GAS_CHP,EE_COMC_GAS_CHP,73.94264272313053,1.0,EE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,934.0123291342804,0.03,,,,,
EE_STUR_GAS_CHP,EE_STUR_GAS_CHP,46.057357276869475,1.0,EE,STUR,GAS,0.368,1,1,0.02,0.02,25,2.9,0.25,0.4,0.38,0.166666667,0.531963913,Extraction,0.4666,0.23,,,,,1184.5012587278904,0.03,,,,,
