,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,STOMaxDischargingPower,STODischargingEfficiency
SE_STUR_NUC,SE_STUR_NUC,750.3333333333334,3.0,SE,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,,,,
SE_COMC_GAS,SE_COMC_GAS,417.38492572717365,12.0,SE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,,,
SE_GTUR_GAS,SE_GTUR_GAS,62.82409982191663,49.0,SE,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25,2.9,0.25,0.2,0.33,0.166666667,0.6839,,,,,,,,,,,,,,
SE_STUR_OIL,SE_STUR_OIL,347.50000000000006,8.0,SE,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,,,,
SE_HDAM_WAT,SE_HDAM_WAT,8117.000000000002,1,SE,HDAM,WAT,0.8,0,0,0.066666667,0.066666667,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,30694000.0,0.0,0.0,0.8,,,
SE_HPHS_WAT,SE_HPHS_WAT,2080.0,1,SE,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,10400.0,0.0,2080.0,0.8,,,
SE_HROR_WAT,SE_HROR_WAT,8117.000000000002,1,SE,HROR,WAT,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
SE_WTOF_WIN,SE_WTOF_WIN,139.99999999999997,1,SE,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
SE_WTON_WIN,SE_WTON_WIN,93271.99999999999,1,SE,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
SE_PHOT_SUN,SE_PHOT_SUN,40798.0,1,SE,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
SE_ALK_H2_HYD,SE_ALK_H2_HYD,85475.0,1,SE,ALK_H2,HYD,0.6,0,0,1.0,1.0,0,0.0,0.0,0.15,0.6,0.0,0.0,,,,,,,,5096944.444444445,0.0,85475.0,0.6,,9249.0,0.46
SE_BEVS_OTH,SE_BEVS_OTH,56168.0,1,SE,BEVS,OTH,0.95,0,0,1.0,1.0,0,0.0,0.0,0.0,0.95,0.0,0.0,,,,,,,,230288.8,0.0,56168.0,0.95,,,
SE_P2HT_OTH,SE_P2HT_OTH,0.0029999998411605945,6295667.0,SE,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0010176067162044,5.0,0.00016957240251569213,6.782895349035608e-06,0.014999999205802972,0.03,,,,,
SE_STUR_BIO_CHP,SE_STUR_BIO_CHP,176.0,9.0,SE,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4693.333333333333,0.03,,,,,
SE_COMC_GAS_CHP,SE_COMC_GAS_CHP,300.38089127391504,1.0,SE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,3794.2849424073484,0.03,,,,,
SE_GTUR_GAS_CHP,SE_GTUR_GAS_CHP,61.53970290869498,3.0,SE,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25,2.9,0.25,0.2,0.33,0.166666667,0.6839,back-pressure,0.55,0.0,,,,,1342.6844270987995,0.03,,,,,
