AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,SE,SI,SK,UK,EU
0.552547452,0.623751317,0.284291945,0.535588016,0.23320678,0.514011215,0.63505762,0.764114586,0.751840836,0.259026822,0.41050025,0.846348753,0.566532651,0.423190931,0.417293031,0.656064764,0.39831592,0.595158281,0.642429644,0.56348406,0.722845902,0.491786781,0.411719904,0.708765513,0.481678262,0.452914197,0.631718155,0.620955903
0.585486604,0.689888824,0.290594396,0.577327946,0.261354975,0.52737478,0.674067365,0.812567605,0.832190127,0.28132405,0.466000845,0.900596846,0.625249549,0.433820332,0.427928861,0.723869479,0.438695307,0.609533037,0.683108082,0.622753891,0.76760794,0.504061813,0.452298174,0.753221405,0.4934195,0.464546483,0.684375845,0.666331346
0.600532778,0.731455251,0.292261339,0.600315244,0.284589971,0.532758123,0.691750672,0.834703435,0.882607868,0.299523796,0.510884598,0.925186832,0.662255507,0.437828085,0.432118144,0.765771071,0.463750188,0.613989411,0.701631085,0.659589674,0.787941827,0.508564422,0.485152726,0.773708769,0.4987154,0.46931734,0.716348644,0.69264261
0.606095493,0.750545599,0.286891122,0.610257144,0.298927743,0.525208672,0.698608543,0.845130804,0.905669455,0.310090082,0.538261403,0.936410937,0.679448073,0.431274262,0.425982277,0.785127265,0.475447835,0.602664292,0.710068737,0.676501024,0.796268268,0.500679833,0.504441036,0.783722448,0.49439953,0.463110953,0.733652782,0.703486247
0.596216221,0.758368411,0.271960419,0.607590647,0.306060589,0.499486873,0.687689792,0.836415801,0.91493833,0.316329649,0.551292258,0.925595201,0.686792197,0.409945593,0.405253128,0.792222274,0.479977847,0.570412164,0.701970491,0.682884536,0.784899696,0.475608956,0.515061745,0.776781707,0.474412597,0.44112481,0.741244955,0.698970465
0.565413987,0.747924823,0.249369791,0.586856353,0.309091256,0.457343766,0.652536281,0.799106049,0.901750822,0.318898622,0.555925276,0.882722367,0.678362996,0.375599283,0.371522166,0.779575829,0.473089603,0.520267116,0.669680375,0.67221054,0.746082628,0.435470474,0.519100761,0.743676274,0.440877999,0.404991413,0.731596704,0.674996387
0.515888245,0.711648246,0.223626914,0.546421118,0.306031804,0.406610979,0.595369508,0.734991861,0.857219132,0.316928779,0.547429106,0.809792764,0.646900135,0.334722126,0.331109527,0.739883411,0.450055077,0.461928609,0.614813113,0.638121887,0.682135187,0.387873988,0.514273312,0.686032038,0.400087992,0.361439389,0.694315773,0.630174154
0.456943624,0.651955857,0.200563097,0.492437992,0.293256342,0.358558641,0.526822711,0.655604448,0.784258528,0.306092318,0.52046636,0.719972039,0.59461253,0.296447948,0.293069523,0.67626418,0.412746329,0.408120489,0.547304257,0.583102326,0.604855551,0.343418228,0.494214695,0.614161639,0.362089095,0.320308938,0.634572447,0.571147737
0.401417607,0.579910092,0.183047948,0.436004385,0.272226769,0.321045126,0.461806325,0.579001711,0.696416007,0.288771077,0.477671125,0.633371511,0.531164265,0.266721365,0.263419536,0.600738114,0.368182513,0.366909276,0.482336363,0.517482113,0.53124499,0.3089651,0.462503991,0.54472041,0.331988376,0.288132699,0.566481949,0.5096988
0.35838503,0.51156025,0.170547648,0.387974484,0.246941001,0.295165245,0.411237217,0.5182866,0.613100514,0.268489806,0.427248717,0.564991027,0.470983365,0.246066443,0.242871316,0.52993685,0.326380539,0.338128555,0.431039801,0.455675392,0.473719541,0.285006458,0.425498447,0.489421506,0.310737792,0.265849467,0.506767006,0.456858655
0.328687445,0.458121446,0.160503957,0.352632805,0.223591649,0.275197356,0.376473674,0.476679116,0.548083734,0.251095081,0.380615125,0.518210134,0.423725532,0.229988732,0.22692211,0.475086272,0.293839787,0.315617488,0.395884283,0.407688965,0.434204725,0.26634073,0.393011645,0.451457847,0.293794232,0.248560008,0.46010746,0.416560053
0.305786544,0.421271946,0.152787156,0.326849866,0.205209261,0.259259443,0.349794026,0.444792814,0.503291482,0.237337677,0.344541608,0.482463216,0.391045025,0.217238842,0.21418565,0.437075468,0.271236562,0.298348414,0.368961037,0.374531631,0.403889362,0.251612468,0.367616022,0.422270293,0.279450902,0.234628126,0.426108847,0.386630122
0.28786921,0.392850812,0.148279736,0.306731499,0.192177711,0.250195317,0.328798138,0.418462517,0.46879719,0.226911506,0.319262774,0.453289842,0.365724291,0.20993464,0.206881006,0.407602549,0.253642557,0.288637916,0.346948579,0.34891296,0.379735525,0.24319788,0.34886649,0.397831809,0.27060032,0.226587663,0.398563795,0.363920672
0.277841897,0.370084145,0.14595214,0.292978837,0.181742352,0.245817771,0.317075216,0.403243206,0.441333104,0.217872113,0.299372468,0.4366385,0.345143172,0.20634156,0.203275487,0.384456799,0.239607525,0.284087983,0.334330011,0.32874019,0.366125749,0.239084906,0.333106652,0.383505452,0.265452093,0.222556605,0.378784141,0.348416572
0.273206519,0.357107585,0.144016117,0.285673241,0.173008826,0.243640106,0.311689081,0.395586353,0.42578507,0.209846201,0.283628524,0.428522669,0.333212466,0.204278122,0.20129491,0.371368631,0.231533294,0.281247468,0.328108646,0.317362669,0.359712492,0.236689367,0.319690191,0.376048971,0.261779433,0.220358295,0.369264189,0.339662394
0.270940432,0.350804647,0.141789725,0.2820491,0.167629614,0.240176782,0.309304524,0.39217934,0.418365407,0.204310846,0.274491313,0.425155914,0.32716689,0.201295697,0.19834387,0.365139504,0.227517592,0.277400302,0.325395227,0.311990132,0.356869148,0.233265811,0.310893756,0.372510572,0.25705893,0.21705707,0.367745956,0.335197378
0.267322901,0.347689404,0.141122108,0.278710729,0.164512924,0.238676334,0.305222082,0.386264117,0.414807917,0.200415231,0.269846689,0.419038894,0.323938964,0.200097687,0.197098661,0.361767457,0.225214654,0.276183825,0.320632733,0.309259458,0.351982227,0.231932738,0.305174345,0.366611663,0.25483246,0.215600166,0.367781138,0.331928438
0.265921972,0.342707572,0.143862631,0.275956884,0.162195903,0.242106076,0.303539235,0.383193534,0.409015173,0.196474749,0.26677644,0.415942165,0.319011652,0.203190166,0.199985663,0.35672681,0.221878371,0.281383498,0.318240367,0.305000167,0.349815035,0.235637427,0.299736821,0.363465262,0.257659613,0.21856679,0.365013296,0.329925394
0.270262253,0.340503623,0.152647266,0.277479139,0.159295981,0.255560601,0.308240632,0.387251899,0.406510495,0.192277645,0.262714063,0.420730483,0.31673848,0.214685451,0.211036885,0.354778919,0.220496113,0.29913429,0.321904639,0.303298327,0.354783391,0.249200193,0.293784554,0.366930574,0.26909108,0.230241634,0.363886591,0.333087645
0.286447695,0.345267021,0.169374789,0.288191679,0.157991214,0.284271737,0.326395215,0.406023418,0.412405836,0.190455524,0.261165102,0.442187437,0.320812551,0.238551488,0.23431065,0.360533408,0.223781288,0.33445117,0.338195062,0.308080609,0.374712242,0.277157981,0.291305785,0.383676749,0.293408061,0.255119039,0.369940416,0.347090919
0.320249497,0.364192714,0.193104982,0.313833738,0.159924354,0.327470123,0.364978046,0.448757773,0.435571537,0.192679425,0.265375041,0.490584103,0.337393793,0.273969627,0.269048,0.381730068,0.236175253,0.386126092,0.374788075,0.326070129,0.417743955,0.318547809,0.295143798,0.422278291,0.3289901,0.292364473,0.390870703,0.377402346
0.370866588,0.404799582,0.221851362,0.356584086,0.167335082,0.382043574,0.423228876,0.514408651,0.485088867,0.200328525,0.280375953,0.564966098,0.373233792,0.318313439,0.312761892,0.42563535,0.262079053,0.449735394,0.430864588,0.363738215,0.482981491,0.370226572,0.30827425,0.48157706,0.374181686,0.339444449,0.432913079,0.426162954
0.434276711,0.465994923,0.249674574,0.413705799,0.182734985,0.43850791,0.496627368,0.599149214,0.559737293,0.215015234,0.310779534,0.660616884,0.427135571,0.363544123,0.357634188,0.490961045,0.300581054,0.513497285,0.502913314,0.420097706,0.565668202,0.422788115,0.333691327,0.558490451,0.41986221,0.387954274,0.493584358,0.489702415
0.499484763,0.543456411,0.271535296,0.477624731,0.205075309,0.484915494,0.57275112,0.68878589,0.654067947,0.234742537,0.355256549,0.761751907,0.495614281,0.400398423,0.394394543,0.572618003,0.3489141,0.564416449,0.578897693,0.490804703,0.651841784,0.465481214,0.368683327,0.639927379,0.457914758,0.427897781,0.564922868,0.558943415
0.543928016,0.624651102,0.277005059,0.531215094,0.237319984,0.500033339,0.625360278,0.754458341,0.752687636,0.264821344,0.416224719,0.835134636,0.567769078,0.411856296,0.406101137,0.656326108,0.398788993,0.579001028,0.633963652,0.563791228,0.712289937,0.47858964,0.419942636,0.700319636,0.470003513,0.440840291,0.663238726,0.62062283
0.569302735,0.679986311,0.283712924,0.564775682,0.262234835,0.513599761,0.655306157,0.790701651,0.819980544,0.282761919,0.466361457,0.875966737,0.616734698,0.422746933,0.416939158,0.712698356,0.432272059,0.594029887,0.664554603,0.613244121,0.746423773,0.491206109,0.453961145,0.733325608,0.481820348,0.452635321,0.718777135,0.659992015
