Region,year,avg,clim,deviation,perc_deviation,type_deviation,sign_deviation
EAPP,1980,1539.447989,1538.783327,0.664661602,0.04319397,Sp,1
NAPP,1980,272.2843666,252.8584298,19.42593682,7.682534783,Mp,1
CAPP,1980,504.2379533,458.6065705,45.63138281,9.950006333,Mp,1
SAPP,1980,1870.958516,1620.701924,250.2565913,15.44124725,XLp,1
WAPP,1980,1302.289628,1115.579165,186.7104629,16.73663947,XLp,1
EAPP,1981,1798.00837,1538.783327,259.2250428,16.84610421,XLp,1
NAPP,1981,350.0992497,252.8584298,97.2408199,38.45662571,XLp,1
CAPP,1981,412.4592521,458.6065705,-46.1473184,-10.06250703,Lm,-1
SAPP,1981,1622.793257,1620.701924,2.091332229,0.129038671,Sp,1
WAPP,1981,1272.109417,1115.579165,156.5302523,14.03129937,Lp,1
EAPP,1982,1623.713787,1538.783327,84.93045955,5.519325434,Mp,1
NAPP,1982,272.6050915,252.8584298,19.74666172,7.809374495,Mp,1
CAPP,1982,404.6864277,458.6065705,-53.92014279,-11.75738558,Lm,-1
SAPP,1982,1601.241313,1620.701924,-19.46061157,-1.200752049,Sm,-1
WAPP,1982,1250.014509,1115.579165,134.4353443,12.05072204,Lp,1
EAPP,1983,1385.745627,1538.783327,-153.0377,-9.945370303,Mm,-1
NAPP,1983,250.5170231,252.8584298,-2.341406686,-0.925975333,Sm,-1
CAPP,1983,257.4684592,458.6065705,-201.1381113,-43.8585324,XLm,-1
SAPP,1983,1756.725674,1620.701924,136.0237492,8.392891199,Mp,1
WAPP,1983,1158.608713,1115.579165,43.02954838,3.8571488,Sp,1
EAPP,1984,1667.195644,1538.783327,128.4123167,8.345055113,Mp,1
NAPP,1984,248.9237947,252.8584298,-3.934635065,-1.556062445,Sm,-1
CAPP,1984,314.23664,458.6065705,-144.3699305,-31.48012693,XLm,-1
SAPP,1984,1762.867126,1620.701924,142.1652021,8.771829042,Mp,1
WAPP,1984,1143.125946,1115.579165,27.54678085,2.469280686,Sp,1
EAPP,1985,1686.020127,1538.783327,147.2367994,9.568390613,Mp,1
NAPP,1985,252.5185867,252.8584298,-0.33984302,-0.13440051,Sm,-1
CAPP,1985,476.5245935,458.6065705,17.91802299,3.907057626,Sp,1
SAPP,1985,2003.830119,1620.701924,383.128195,23.63964584,XLp,1
WAPP,1985,1533.327315,1115.579165,417.7481497,37.44675078,XLp,1
EAPP,1986,1782.844661,1538.783327,244.0613341,15.86066926,XLp,1
NAPP,1986,307.5058633,252.8584298,54.64743351,21.61186936,XLp,1
CAPP,1986,538.2974132,458.6065705,79.69084272,17.37673375,XLp,1
SAPP,1986,1808.081572,1620.701924,187.3796476,11.56163541,Lp,1
WAPP,1986,1375.428347,1115.579165,259.8491816,23.29276036,XLp,1
EAPP,1987,2242.169934,1538.783327,703.3866072,45.71056852,XLp,1
NAPP,1987,287.0952606,252.8584298,34.23683081,13.53992068,Lp,1
CAPP,1987,568.3867911,458.6065705,109.7802207,23.93777755,XLp,1
SAPP,1987,1999.120441,1620.701924,378.4185163,23.34905084,XLp,1
WAPP,1987,1357.395145,1115.579165,241.8159802,21.67627254,XLp,1
EAPP,1988,1906.238416,1538.783327,367.4550886,23.87958604,XLp,1
NAPP,1988,304.8801021,252.8584298,52.0216723,20.57343801,XLp,1
CAPP,1988,835.1245226,458.6065705,376.5179521,82.10042688,XLp,1
SAPP,1988,1664.267915,1620.701924,43.56599089,2.688093982,Sp,1
WAPP,1988,1345.258147,1115.579165,229.6789816,20.5883176,XLp,1
EAPP,1989,1758.73473,1538.783327,219.9514033,14.29385148,Lp,1
NAPP,1989,250.4431765,252.8584298,-2.415253228,-0.955180031,Sm,-1
CAPP,1989,799.7526035,458.6065705,341.146033,74.38751535,XLp,1
SAPP,1989,1640.898885,1620.701924,20.19696112,1.246186039,Sp,1
WAPP,1989,1184.8098,1115.579165,69.23063455,6.205802037,Mp,1
EAPP,1990,1707.369112,1538.783327,168.585785,10.95578448,Lp,1
NAPP,1990,246.6159567,252.8584298,-6.242473023,-2.468762077,Sm,-1
CAPP,1990,542.1382308,458.6065705,83.53166031,18.21423104,XLp,1
SAPP,1990,1662.103795,1620.701924,41.40187106,2.554564195,Sp,1
WAPP,1990,1269.123833,1115.579165,153.5446675,13.76367292,Lp,1
EAPP,1991,1773.783794,1538.783327,235.0004666,15.27183603,XLp,1
NAPP,1991,305.6587575,252.8584298,52.80032772,20.88137926,XLp,1
CAPP,1991,545.8330497,458.6065705,87.22647921,19.01989305,XLp,1
SAPP,1991,1698.146238,1620.701924,77.44431339,4.778442737,Sp,1
WAPP,1991,1311.73909,1115.579165,196.1599253,17.58368491,XLp,1
EAPP,1992,1507.219335,1538.783327,-31.56399179,-2.051230426,Sm,-1
NAPP,1992,234.9788169,252.8584298,-17.87961286,-7.070997347,Mm,-1
CAPP,1992,356.0397564,458.6065705,-102.5668141,-22.36488107,XLm,-1
SAPP,1992,1516.121287,1620.701924,-104.5806378,-6.452799012,Mm,-1
WAPP,1992,1149.672913,1115.579165,34.09374804,3.056147794,Sp,1
EAPP,1993,1185.570357,1538.783327,-353.2129698,-22.95404191,XLm,-1
NAPP,1993,222.6775443,252.8584298,-30.18088545,-11.93588265,Lm,-1
CAPP,1993,339.5912898,458.6065705,-119.0152807,-25.95149926,XLm,-1
SAPP,1993,1565.464908,1620.701924,-55.23701677,-3.408215659,Sm,-1
WAPP,1993,1111.435608,1115.579165,-4.143557087,-0.371426539,Sm,-1
EAPP,1994,1359.265468,1538.783327,-179.5178591,-11.66622071,Lm,-1
NAPP,1994,268.9819401,252.8584298,16.12351031,6.376497047,Mp,1
CAPP,1994,562.4810274,458.6065705,103.8744569,22.65001498,XLp,1
