Region,fuel_type,cap,total,Share
EAPP,BIO,928,74270.6,0.012498889
EAPP,HRD,0,74270.6,0
EAPP,WAT,11170,74270.6,0.150395984
EAPP,WIN,1810,74270.6,0.024370343
EAPP,SUN,1182,74270.6,0.015914777
EAPP,NUC,0,74270.6,0
EAPP,PEA,15,74270.6,0.000201964
EAPP,OIL,9052,74270.6,0.121878644
EAPP,GAS,49320,74270.6,0.664058187
EAPP,GEO,793,74270.6,0.010681212
NAPP,BIO,2,46115,4.33698E-05
NAPP,HRD,4315,46115,0.093570422
NAPP,WAT,2272,46115,0.049268134
NAPP,WIN,1611,46115,0.034934403
NAPP,SUN,1322,46115,0.028667462
NAPP,NUC,0,46115,0
NAPP,PEA,0,46115,0
NAPP,OIL,5253,46115,0.113910875
NAPP,GAS,31340,46115,0.679605334
NAPP,GEO,0,46115,0
CAPP,BIO,12,6748.7,0.00177812
CAPP,HRD,0,6748.7,0
CAPP,WAT,4293,6748.7,0.636122512
CAPP,WIN,1,6748.7,0.000148177
CAPP,SUN,35,6748.7,0.005186184
CAPP,NUC,0,6748.7,0
CAPP,PEA,0,6748.7,0
CAPP,OIL,975,6748.7,0.144427816
CAPP,GAS,1433,6748.7,0.212337191
CAPP,GEO,0,6748.7,0
SAPP,BIO,916,70669.2,0.01296463
SAPP,HRD,42060,70669.2,0.595167343
SAPP,WAT,12440,70669.2,0.176031425
SAPP,WIN,2099,70669.2,0.029701765
SAPP,SUN,3171,70669.2,0.044871033
SAPP,NUC,1930,70669.2,0.027310342
SAPP,PEA,0,70669.2,0
SAPP,OIL,5596,70669.2,0.079185841
SAPP,GAS,2457,70669.2,0.034767622
SAPP,GEO,0,70669.2,0
WAPP,BIO,166,20155.4,0.008221122
WAPP,HRD,746,20155.4,0.036987606
WAPP,WAT,5670,20155.4,0.281314189
WAPP,WIN,4,20155.4,0.000198458
WAPP,SUN,395,20155.4,0.019607649
WAPP,NUC,0,20155.4,0
WAPP,PEA,0,20155.4,0
WAPP,OIL,5089,20155.4,0.252488167
WAPP,GAS,8086,20155.4,0.40118281
WAPP,GEO,0,20155.4,0
