Region,Technology,storage,share,label,position,share2,position2,label2
CAPP,HDAM,470.3675147,0.006382867,,,1,0.5,    470 GWh
CAPP,HPHS,0,0,,,0,,
CAPP,SCSP,0,0,,,0,,
EAPP,HDAM,27936.21986,0.379093324,27.9 TWh,0.195929529,0.999988724,0.5,27 936 GWh
EAPP,HPHS,0,0,,,0,,
EAPP,SCSP,0.315,0.06938326,,,1.12756E-05,,
NAPP,HDAM,278.4311124,0.003778298,,,0.983493427,0.5,    278 GWh
NAPP,HPHS,1.64808,0.08810162,,,0.005821461,,
NAPP,SCSP,3.025,0.666299559,3.0 GWh,0.40253304,0.010685112,,
SAPP,HDAM,26181.56899,0.355282786,26.2 TWh,0.566895883,0.999303106,0.5,26 181 GWh
SAPP,HPHS,17.0585,0.91189838,17.1 GWh,0.54405081,0.000651092,,
SAPP,SCSP,1.2,0.264317181,1.2 GWh,0.86784141,4.58018E-05,,
WAPP,HDAM,18825.60938,0.255462724,18.8 TWh,0.872268638,1,0.5,18 825 GWh
WAPP,HPHS,0,0,,,0,,
WAPP,SCSP,0,0,,,0,,
