Scenario,region,id,r,fuel_class,fraction
Baseline,Africa,2000,1,BIO,0.003441738
Baseline,Africa,2000,1,GAS,0.407491059
Baseline,Africa,2000,1,GEO,0.006591458
Baseline,Africa,2000,1,HRD,0.3940669
Baseline,Africa,2000,1,NUC,0.021410273
Baseline,Africa,2000,1,OIL,0.018668584
Baseline,Africa,2000,1,PEA,0.000166401
Baseline,Africa,2000,1,SUN,0.009625565
Baseline,Africa,2000,1,WAT,0.120408897
Baseline,Africa,2000,1,WIN,0.018129126
Baseline,Africa,2017,2,BIO,0.003280507
Baseline,Africa,2017,2,GAS,0.408999395
Baseline,Africa,2017,2,GEO,0.006589807
Baseline,Africa,2017,2,HRD,0.381544797
Baseline,Africa,2017,2,NUC,0.021404909
Baseline,Africa,2017,2,OIL,0.016253994
Baseline,Africa,2017,2,PEA,0.000166359
Baseline,Africa,2017,2,SUN,0.009618666
Baseline,Africa,2017,2,WAT,0.13402556
Baseline,Africa,2017,2,WIN,0.018116005
Baseline,Africa,2009,3,BIO,0.003449758
Baseline,Africa,2009,3,GAS,0.403013174
Baseline,Africa,2009,3,GEO,0.006588361
Baseline,Africa,2009,3,HRD,0.386645248
Baseline,Africa,2009,3,NUC,0.02140021
Baseline,Africa,2009,3,OIL,0.014235866
Baseline,Africa,2009,3,PEA,0.000166323
Baseline,Africa,2009,3,SUN,0.00961785
Baseline,Africa,2009,3,WAT,0.136855274
Baseline,Africa,2009,3,WIN,0.018027936
Baseline,Africa,2008,4,BIO,0.003176933
Baseline,Africa,2008,4,GAS,0.398224346
Baseline,Africa,2008,4,GEO,0.006590559
Baseline,Africa,2008,4,HRD,0.385849468
Baseline,Africa,2008,4,NUC,0.021407353
Baseline,Africa,2008,4,OIL,0.016351755
Baseline,Africa,2008,4,PEA,0.000166378
Baseline,Africa,2008,4,SUN,0.009624717
Baseline,Africa,2008,4,WAT,0.140636024
Baseline,Africa,2008,4,WIN,0.017972467
Baseline,Africa,2004,5,BIO,0.003087206
Baseline,Africa,2004,5,GAS,0.397573579
Baseline,Africa,2004,5,GEO,0.006590134
Baseline,Africa,2004,5,HRD,0.385238128
Baseline,Africa,2004,5,NUC,0.021405971
Baseline,Africa,2004,5,OIL,0.015748859
Baseline,Africa,2004,5,PEA,0.000166368
Baseline,Africa,2004,5,SUN,0.009624265
Baseline,Africa,2004,5,WAT,0.142476929
Baseline,Africa,2004,5,WIN,0.018088562
Baseline,Africa,2005,6,BIO,0.003244051
Baseline,Africa,2005,6,GAS,0.396843895
Baseline,Africa,2005,6,GEO,0.006590152
Baseline,Africa,2005,6,HRD,0.38270846
Baseline,Africa,2005,6,NUC,0.021406028
Baseline,Africa,2005,6,OIL,0.016500606
Baseline,Africa,2005,6,PEA,0.000166368
Baseline,Africa,2005,6,SUN,0.009619368
Baseline,Africa,2005,6,WAT,0.144976954
Baseline,Africa,2005,6,WIN,0.01794412
Baseline,Africa,2015,7,BIO,0.003023447
Baseline,Africa,2015,7,GAS,0.402160135
Baseline,Africa,2015,7,GEO,0.006589888
Baseline,Africa,2015,7,HRD,0.378048071
Baseline,Africa,2015,7,NUC,2.14E-02
Baseline,Africa,2015,7,OIL,0.014633568
Baseline,Africa,2015,7,PEA,0.000166361
Baseline,Africa,2015,7,SUN,0.009619676
Baseline,Africa,2015,7,WAT,0.146347405
Baseline,Africa,2015,7,WIN,0.018006278
Baseline,Africa,1993,8,BIO,0.003306897
Baseline,Africa,1993,8,GAS,0.398902101
Baseline,Africa,1993,8,GEO,0.006589286
Baseline,Africa,1993,8,HRD,0.379324167
Baseline,Africa,1993,8,NUC,0.021403218
Baseline,Africa,1993,8,OIL,0.016146542
Baseline,Africa,1993,8,PEA,0.000166346
Baseline,Africa,1993,8,SUN,0.009617012
Baseline,Africa,1993,8,WAT,0.14650127
Baseline,Africa,1993,8,WIN,0.018043161
Baseline,Africa,2014,9,BIO,0.003253071
Baseline,Africa,2014,9,GAS,0.401209491
Baseline,Africa,2014,9,GEO,0.006589739
Baseline,Africa,2014,9,HRD,0.376882183
Baseline,Africa,2014,9,NUC,0.021404687
Baseline,Africa,2014,9,OIL,0.015727375
Baseline,Africa,2014,9,PEA,0.000166358
Baseline,Africa,2014,9,SUN,0.009619802
