id,Fuel,e_CAPP,e_EAPP,e_NAPP,e_SAPP,e_WAPP,r_CAPP,r_EAPP,r_NAPP,r_SAPP,r_WAPP,rank_diff_CE,rank_diff_CS,rank_diff_CW,rank_diff_EN,rank_diff_ES,rank_diff_NW,label_CE,label_CS,label_CW,label_EN,label_ES,label_NW,color_CE,color_CS,color_CW,color_EN,color_ES,color_NW
1980,WAT,13.16585557,42.01999977,4.853143329,51.16564258,28.9313364,18,25,31,36,34,-7,-18,-16,-6,-11,-3,,,,,,,black,black,black,black,black,black
1981,WAT,10.20468461,45.22716898,5.447501864,44.24153564,29.08242724,3,34,39,21,36,-31,-18,-33,-5,13,3,1981,,1981,1981,,1981,blue,black,blue,green,black,green
1982,WAT,12.81304482,40.91565813,4.723008718,44.65541573,28.34179691,11,23,28,22,30,-12,-11,-19,-5,1,-2,,,,,,,black,black,black,black,black,black
1983,WAT,9.361903585,36.36036553,4.111175945,47.56503496,25.1745001,1,10,6,30,21,-9,-29,-20,4,-20,-15,,,,,,,black,black,black,black,black,black
1984,WAT,12.65737613,42.53310636,4.385880223,47.14505556,25.80047498,8,27,17,29,24,-19,-21,-16,10,-2,-7,,,,,,,black,black,black,black,black,black
1985,WAT,11.44974139,45.01035393,4.828591942,54.38285037,32.27328802,5,33,30,38,39,-28,-33,-34,3,-5,-9,1985,1985,1985,,1985,,blue,blue,blue,black,green,black
1986,WAT,14.71408792,46.79202236,5.311867379,49.09857696,30.2408446,32,37,38,33,37,-5,-1,-5,-1,4,1,1986,1986,1986,1986,1986,1986,green,green,green,green,green,green
1987,WAT,12.89359559,51.63120906,4.691993133,53.9807787,28.33367992,12,39,25,37,29,-27,-25,-17,14,2,-4,,,,,1987,,black,black,black,black,green,black
1988,WAT,15.04344449,49.44665625,4.909786198,45.58524725,30.48208795,35,38,33,25,38,-3,10,-3,5,13,-5,1988,,1988,1988,,1988,green,black,green,green,black,green
1989,WAT,15.32775672,46.18298727,4.696513336,46.53182984,25.59772135,36,35,26,27,22,1,9,14,9,8,4,1989,,,,,,green,black,black,black,black,black
1990,WAT,14.02891273,42.86129405,4.227421406,46.57628479,28.02014578,30,28,12,28,27,2,2,3,16,0,-15,,,,,,,black,black,black,black,black,black
1991,WAT,14.15777249,44.51501821,5.009870333,45.94627373,28.30163488,31,32,35,26,28,-1,5,3,-3,6,7,,,,1991,,,black,black,black,green,black,black
1992,WAT,13.26699438,40.29805202,4.471630974,42.27076219,26.42407212,21,20,20,17,25,1,4,-4,0,3,-5,,,,,,,black,black,black,black,black,black
1993,WAT,9.884758491,34.09730722,4.080586452,42.05946374,25.60196348,2,5,5,15,23,-3,-13,-21,0,-10,-18,1993,,,1993,,,red,black,black,red,black,black
1994,WAT,13.55255245,37.83546244,5.02515499,43.50542143,28.49869844,24,16,36,19,32,8,5,-8,-20,-3,4,,,,,,1994,black,black,black,black,black,green
1995,WAT,13.14082874,40.3790623,4.244441245,47.82879881,28.53092745,16,21,14,32,33,-5,-16,-17,7,-11,-19,,,,,,,black,black,black,black,black,black
1996,WAT,15.00537919,46.42294058,4.616860312,38.3835669,28.4561928,34,36,24,7,31,-2,27,3,12,29,-7,1996,1996,,,1996,,green,blue,black,black,blue,black
1997,WAT,13.92776208,42.42438373,4.02643682,37.41405436,25.16155407,27,26,3,6,20,1,21,7,23,20,-17,,,,,,,black,black,black,black,black,black
1998,WAT,13.96657166,44.49183854,5.057718077,56.06827319,28.97610683,28,31,37,39,35,-3,-11,-7,-6,-8,2,,,,,,1998,black,black,black,black,black,green
1999,WAT,12.98011574,37.09358141,4.241369967,39.69506536,26.67761353,13,13,13,11,26,0,2,-13,0,2,-13,,,,,,,black,black,black,black,black,black
2000,WAT,11.78240907,34.66742318,3.104401654,25.62485184,19.6423022,6,6,1,1,1,0,5,5,5,5,0,2000,2000,2000,2000,2000,2000,red,red,red,red,red,red
