id,Scenario,Region,WAT,Fossil,CO2,Costs,Consumption,Withdrawal,Inflow,Curtailment,ShedLoad,Label_1,Label_2
1980,Baseline,Africa,140.1359777,605.2079604,441.2314296,23.73328271,0.711946066,18.41878115,6129.620975,3.410908637,0.008704739,,
1981,Baseline,Africa,134.2033183,609.0736565,447.1481435,23.90133737,0.722941581,18.40065853,6114.825946,1.866028438,0.011002461,,
1982,Baseline,Africa,131.4489243,612.0517504,448.5446941,23.97639581,0.727372229,18.51472275,5832.652191,2.365578531,0.009343481,,
1983,Baseline,Africa,122.5729801,620.8500716,451.2723452,24.64752135,0.725511726,18.80996555,5330.570424,1.290626287,0.011486875,,
1984,Baseline,Africa,132.5218933,612.8340557,447.2764911,24.09740395,0.720270751,18.55074093,5753.866079,4.832389074,0.010633471,,
1985,Baseline,Africa,147.9448257,595.5959376,435.6598359,23.38645671,0.704949962,18.26753889,6623.949168,2.676499691,0.008560519,,
1986,Baseline,Africa,146.1573992,597.13915,438.2673255,23.31431428,0.710662567,18.28110257,6544.440163,1.973478999,0.008694886,,
1987,Baseline,Africa,151.5312564,591.9913394,434.0316805,23.23597318,0.699882989,18.32576023,7098.026396,6.84429988,0.008505486,,
1988,Baseline,Africa,145.4672221,599.9443589,440.494796,23.30751537,0.716043172,18.26395429,6785.853578,5.200338889,0.00895787,,
1989,Baseline,Africa,138.3368085,605.1241028,443.5091525,23.60943313,0.718391918,18.48075097,6357.726759,4.879185803,0.008334585,,
1990,Baseline,Africa,135.7140588,607.7685352,445.0431127,23.74682204,0.721941842,18.4909543,6113.269213,4.038046027,0.008519742,,
1991,Baseline,Africa,137.9305696,605.4755012,444.2823396,23.69007996,0.7191171,18.44933858,6272.298201,5.810566926,0.008724618,,
1992,Baseline,Africa,126.7315117,618.6243951,452.6009088,24.31485729,0.729471798,18.60523715,5351.617219,0.676404482,0.010830944,,
1993,Baseline,Africa,115.7240794,627.6212652,457.2133495,24.76320181,0.738051783,18.78274162,5022.042181,0.940778676,0.010611638,,
1994,Baseline,Africa,128.4172897,615.0200681,449.8014061,24.14823134,0.729143679,18.52769409,5611.722328,1.961955051,0.009688425,,
1995,Baseline,Africa,134.1240585,609.3602897,445.9539601,24.02225485,0.719608408,18.51446619,5731.555267,1.225565918,0.011090684,,
1996,Baseline,Africa,132.8849398,612.2783187,450.4181528,23.67836218,0.733384528,18.46033566,6241.355747,9.110773025,0.008121542,,
1997,Baseline,Africa,122.9541911,620.5791768,454.8315686,24.16352547,0.738983955,18.64666066,5608.63424,5.111496814,0.008076259,,
1998,Baseline,Africa,148.5605083,595.0171992,434.0936644,23.48122007,0.700941073,18.33286791,6705.270928,8.304150564,0.009726511,,
1999,Baseline,Africa,120.687746,622.7802366,455.6738699,24.48685841,0.736276103,18.65366236,5100.76388,3.252174697,0.010270075,,
2000,Baseline,Africa,94.82138794,646.0552313,473.6945546,25.69325943,0.763588105,19.20785935,5308.356823,26.96848425,0.01374437,,
2001,Baseline,Africa,130.4489054,612.9251879,448.0496177,24.17485028,0.721798898,18.60068637,5753.889157,5.713368051,0.012435213,,
2002,Baseline,Africa,116.4010185,627.112297,456.4686082,24.70732425,0.736211301,18.89114029,5102.966481,1.927383269,0.009716181,,
2003,Baseline,Africa,116.2361974,627.4260466,457.9334902,24.623634,0.739490853,18.88596851,4965.026687,0.663941417,0.0080974,,
2004,Baseline,Africa,112.839006,632.5764729,460.907328,24.78740057,0.744579466,18.97409019,4866.518421,3.473039301,0.008859782,,
2005,Baseline,Africa,114.5049594,628.8658949,459.5230743,24.85548076,0.739725066,18.98342325,4896.209421,2.180350655,0.012151452,,
2006,Baseline,Africa,120.478515,623.0330944,456.0764689,24.32990556,0.739031715,18.86412961,5730.095538,8.123123652,0.008588426,,
2007,Baseline,Africa,125.6386758,617.8316152,450.0901656,24.3851506,0.725239555,18.66376122,5400.690016,1.31560473,0.011909749,,
2008,Baseline,Africa,111.3738555,634.0126037,461.9797911,24.85707785,0.745772016,18.99329174,4850.177943,1.028169511,0.010735831,,
2009,Baseline,Africa,108.1197208,635.231702,463.1418216,24.93071416,0.749871663,19.1164362,4857.174066,4.871536745,0.00878972,,
2010,Baseline,Africa,135.3721666,608.0942791,443.4593965,23.84709661,0.717133907,18.54463464,5882.861221,6.638238315,0.008152753,,
2011,Baseline,Africa,126.9981033,616.3202561,451.0568135,24.10305405,0.729913564,18.66479231,5582.183475,5.050078737,0.008117279,Africa,Africa
2012,Baseline,Africa,121.7379163,623.5882528,454.695218,24.46769343,0.732636564,18.73262625,5265.61226,1.240851169,0.009586719,,
2013,Baseline,Africa,125.0222381,618.2437865,451.1541524,24.34488782,0.728009297,18.63996954,5405.261336,3.025050817,0.009274332,,
2014,Baseline,Africa,116.2226252,627.1408104,455.4368521,24.73308621,0.735660772,18.81674606,5061.563026,4.0849165,0.009726613,,
2015,Baseline,Africa,115.5919898,627.9344167,456.1774646,24.71393963,0.738462169,18.95195815,5188.30353,1.263966626,0.008982601,,
2016,Baseline,Africa,118.8106137,626.56684,452.7178317,24.86410197,0.726507171,18.89564594,4921.071461,0.679873325,0.011061367,,
2017,Baseline,Africa,105.8609198,637.3859493,462.8199088,25.26597222,0.744941211,19.29768089,4676.682353,0.946785082,0.011507198,,
2018,Baseline,Africa,130.1045181,613.4602689,445.4992807,24.11530293,0.719853192,18.75157276,5697.554526,0.807993525,0.008396546,,
1980,Baseline,CAPP,13.16585557,6.921811563,213.4290052,23.8095372,0.010402455,1.302143801,680.1177298,6.398294049,0.028952348,,
1981,Baseline,CAPP,10.20468461,7.934522426,270.5583699,31.14047483,0.016217305,1.981151496,547.3296667,5.541542506,0.107999482,,
1982,Baseline,CAPP,12.81304482,6.76222711,214.5843054,23.71744099,0.009859111,0.894850998,588.7752595,1.845747104,0.050940305,,
1983,Baseline,CAPP,9.361903585,9.123241611,303.5099943,36.13714612,0.021528999,3.357615488,400.9901729,2.229477981,0.12459431,,
1984,Baseline,CAPP,12.65737613,8.461606717,247.7497318,28.48980809,0.014924146,1.977990441,498.8055828,2.824549373,0.095203386,,
1985,Baseline,CAPP,11.44974139,6.832394929,232.5793486,25.07503342,0.00742734,0.488943777,622.8904503,5.14994688,0.023935549,,
1986,Baseline,CAPP,14.71408792,5.40902464,167.514036,18.04078079,0.00632564,0.315564877,743.2264183,7.850556713,0.028591054,,
1987,Baseline,CAPP,12.89359559,6.100260661,200.2361715,21.42814016,0.00686663,0.27729726,742.1403857,15.96093496,0.022126902,,
1988,Baseline,CAPP,15.04344449,5.243895769,161.2969599,17.37670641,0.004998388,0.138111969,1017.261799,30.79650228,0.037580077,,
1989,Baseline,CAPP,15.32775672,4.785894712,148.6092999,15.74709761,0.003907473,0.019962521,994.7117001,23.87314592,0.01619825,,
1990,Baseline,CAPP,14.02891273,5.664580344,179.4572359,19.13875096,0.005597178,0.165835591,731.124366,5.49993588,0.022648668,,
1991,Baseline,CAPP,14.15777249,6.022380627,186.0729752,19.97985098,0.006267444,0.259155113,743.8923599,11.96944024,0.029651431,,
1992,Baseline,CAPP,13.26699438,8.421879442,240.0592719,27.70336007,0.012491476,1.767897434,536.2614341,1.470864167,0.101989194,,
1993,Baseline,CAPP,9.884758491,8.359857163,283.040257,32.63552923,0.015565389,2.113489855,484.2011067,3.548735948,0.094480236,,
1994,Baseline,CAPP,13.55255245,6.364901508,198.0265136,22.37026745,0.009876813,1.170061069,738.6051403,11.6931348,0.062659606,,CAPP
1995,Baseline,CAPP,13.14082874,8.034910298,235.1037277,26.88088852,0.011944089,1.434447841,569.4633975,2.667577935,0.110883819,,
1996,Baseline,CAPP,15.00537919,4.315379864,139.3332672,14.79992951,0.004457647,0.133798053,926.303837,19.98873521,0.008853272,,
1997,Baseline,CAPP,13.92776208,4.914520414,162.6531518,17.25025486,0.005385417,0.18867121,747.2943218,8.636584915,0.00731586,,
1998,Baseline,CAPP,13.96657166,7.314858093,212.6408861,24.22533394,0.01316192,1.682076127,637.8502406,7.955388747,0.063996564,,
1999,Baseline,CAPP,12.98011574,8.327233678,241.3944019,27.85136237,0.014609021,2.052985494,558.9916128,6.183331891,0.082653047,,
2000,Baseline,CAPP,11.78240907,8.323421418,255.8521315,30.36569029,0.017588148,2.137934229,669.3525809,24.07317454,0.19606098,,
2001,Baseline,CAPP,12.71942304,8.284386262,243.5865141,28.78161015,0.016987061,2.233632366,560.719175,10.3069161,0.157114006,,
2002,Baseline,CAPP,13.46467992,6.937557119,211.8215105,23.12943814,0.00846913,0.484419322,603.8166559,5.402259527,0.063774364,CAPP,
2003,Baseline,CAPP,14.94708583,6.697414719,192.9903852,20.47484675,0.006036627,0.225236296,631.1824544,1.805658178,0.008118508,,
2004,Baseline,CAPP,13.8206854,7.130609033,211.3014852,23.2598949,0.009854559,1.018906023,581.706287,1.638854246,0.030812691,,
2005,Baseline,CAPP,12.29310824,8.624803507,254.2904078,30.12371647,0.018210717,2.628225431,499.1901607,3.733407315,0.145646502,,
2006,Baseline,CAPP,13.86716141,5.328825874,173.1882971,18.50635411,0.005368272,0.151858718,745.7030207,10.21749744,0.024756092,,
2007,Baseline,CAPP,13.1805635,8.193985748,237.0992095,27.61313817,0.012786017,1.73280271,537.9147574,2.030514407,0.13685465,,
2008,Baseline,CAPP,13.34420372,7.389886091,222.0075104,24.53874129,0.00779593,0.444557519,579.8496081,1.994276659,0.098821627,,
2009,Baseline,CAPP,14.01928898,5.63016355,178.0182184,19.56574135,0.007296718,0.664612133,685.1765849,3.527329352,0.030458903,,
2010,Baseline,CAPP,15.99858843,6.081488473,171.379821,18.50491318,0.005890731,0.464819439,682.0130645,3.028863878,0.009831295,,
2011,Baseline,CAPP,16.79443636,5.46501515,153.3380361,16.15753218,0.004259351,0.065426171,789.0132624,10.12145075,0.008744082,,
