Scenario,id,Connection,Congestion
Baseline,1980,CAPP <-> EAPP,37.37
Baseline,1981,CAPP <-> EAPP,25.88
Baseline,1982,CAPP <-> EAPP,35.51
Baseline,1983,CAPP <-> EAPP,6.55
Baseline,1984,CAPP <-> EAPP,49.37
Baseline,1985,CAPP <-> EAPP,26.86
Baseline,1986,CAPP <-> EAPP,35.56
Baseline,1987,CAPP <-> EAPP,27.65
Baseline,1988,CAPP <-> EAPP,34.55
Baseline,1989,CAPP <-> EAPP,43.66
Baseline,1990,CAPP <-> EAPP,39.37
Baseline,1991,CAPP <-> EAPP,39.95
Baseline,1992,CAPP <-> EAPP,55.42
Baseline,1993,CAPP <-> EAPP,31.42
Baseline,1994,CAPP <-> EAPP,34.4
Baseline,1995,CAPP <-> EAPP,52.63
Baseline,1996,CAPP <-> EAPP,30.66
Baseline,1997,CAPP <-> EAPP,7.99
Baseline,1998,CAPP <-> EAPP,45.91
Baseline,1999,CAPP <-> EAPP,48.13
Baseline,2000,CAPP <-> EAPP,8.78
Baseline,2001,CAPP <-> EAPP,28.82
Baseline,2002,CAPP <-> EAPP,19.58
Baseline,2003,CAPP <-> EAPP,54.92
Baseline,2004,CAPP <-> EAPP,24.08
Baseline,2005,CAPP <-> EAPP,34.17
Baseline,2006,CAPP <-> EAPP,10.62
Baseline,2007,CAPP <-> EAPP,36
Baseline,2008,CAPP <-> EAPP,49.32
Baseline,2009,CAPP <-> EAPP,13.6
Baseline,2010,CAPP <-> EAPP,72.69
Baseline,2011,CAPP <-> EAPP,53.88
Baseline,2012,CAPP <-> EAPP,40.24
Baseline,2013,CAPP <-> EAPP,34.32
Baseline,2014,CAPP <-> EAPP,10.79
Baseline,2015,CAPP <-> EAPP,23.28
Baseline,2016,CAPP <-> EAPP,39.32
Baseline,2017,CAPP <-> EAPP,7
Baseline,2018,CAPP <-> EAPP,56.19
Baseline,1980,CAPP <-> SAPP,58.53
Baseline,1981,CAPP <-> SAPP,58.77
Baseline,1982,CAPP <-> SAPP,68.82
Baseline,1983,CAPP <-> SAPP,54.49
Baseline,1984,CAPP <-> SAPP,69.87
Baseline,1985,CAPP <-> SAPP,61.83
Baseline,1986,CAPP <-> SAPP,60.61
Baseline,1987,CAPP <-> SAPP,61.03
Baseline,1988,CAPP <-> SAPP,50.58
Baseline,1989,CAPP <-> SAPP,57.96
Baseline,1990,CAPP <-> SAPP,65.99
Baseline,1991,CAPP <-> SAPP,56.41
Baseline,1992,CAPP <-> SAPP,60.25
Baseline,1993,CAPP <-> SAPP,63.13
Baseline,1994,CAPP <-> SAPP,45.68
Baseline,1995,CAPP <-> SAPP,60.27
Baseline,1996,CAPP <-> SAPP,66.2
Baseline,1997,CAPP <-> SAPP,54.97
Baseline,1998,CAPP <-> SAPP,57.51
Baseline,1999,CAPP <-> SAPP,50.02
Baseline,2000,CAPP <-> SAPP,33.65
Baseline,2001,CAPP <-> SAPP,55.87
