Scenario,Week,Region,Level,id
Baseline,0,CAPP,222597.771,1981
Baseline,1,CAPP,213288.0562,1981
Baseline,2,CAPP,206858.4075,1981
Baseline,3,CAPP,207822.9774,1981
Baseline,4,CAPP,212522.0668,1981
Baseline,5,CAPP,215108.3803,1981
Baseline,6,CAPP,218779.5967,1981
Baseline,7,CAPP,253995.4296,1981
Baseline,8,CAPP,283985.3465,1981
Baseline,9,CAPP,324560.344,1981
Baseline,10,CAPP,346854.1233,1981
Baseline,11,CAPP,364193.0002,1981
Baseline,12,CAPP,371965.5889,1981
Baseline,13,CAPP,385907.3101,1981
Baseline,14,CAPP,401404.4294,1981
Baseline,15,CAPP,401317.7962,1981
Baseline,16,CAPP,408709.1089,1981
Baseline,17,CAPP,426023.1715,1981
Baseline,18,CAPP,443747.2179,1981
Baseline,19,CAPP,455010.8896,1981
Baseline,20,CAPP,455777.1023,1981
Baseline,21,CAPP,451747.4155,1981
Baseline,22,CAPP,451923.5978,1981
Baseline,23,CAPP,447908.232,1981
Baseline,24,CAPP,440964.8052,1981
Baseline,25,CAPP,441878.0233,1981
Baseline,26,CAPP,451277.3533,1981
Baseline,27,CAPP,455787.1624,1981
Baseline,28,CAPP,456433.8366,1981
Baseline,29,CAPP,452870.7268,1981
Baseline,30,CAPP,443717.567,1981
Baseline,31,CAPP,431248.1891,1981
Baseline,32,CAPP,417319.5531,1981
Baseline,33,CAPP,406805.4619,1981
Baseline,34,CAPP,400360.9294,1981
Baseline,35,CAPP,394203.2853,1981
Baseline,36,CAPP,384408.3008,1981
Baseline,37,CAPP,376318.8245,1981
Baseline,38,CAPP,370920.008,1981
Baseline,39,CAPP,367264.5505,1981
Baseline,40,CAPP,356903.2626,1981
Baseline,41,CAPP,343504.1864,1981
Baseline,42,CAPP,328315.223,1981
Baseline,43,CAPP,324971.628,1981
Baseline,44,CAPP,319807.9835,1981
Baseline,45,CAPP,313081.9965,1981
Baseline,46,CAPP,298675.9272,1981
Baseline,47,CAPP,288590.7887,1981
Baseline,48,CAPP,275429.3341,1981
Baseline,49,CAPP,264368.0076,1981
Baseline,50,CAPP,248548.4405,1981
Baseline,51,CAPP,238738.1587,1981
Baseline,52,CAPP,235002.6482,1981
Baseline,0,EAPP,13893693.52,1981
Baseline,1,EAPP,13819250.91,1981
Baseline,2,EAPP,13673339.27,1981
Baseline,3,EAPP,13482477.03,1981
Baseline,4,EAPP,13409495.11,1981
