Scenario,Week,Level,id
Baseline,0,36903414.87,1985
Baseline,1,36962953.58,1985
Baseline,2,36966948.86,1985
Baseline,3,36910472.21,1985
Baseline,4,36916433.95,1985
Baseline,5,36915962.27,1985
Baseline,6,37070791.51,1985
Baseline,7,37169790.07,1985
Baseline,8,37425499.26,1985
Baseline,9,37567689.72,1985
Baseline,10,37707500.25,1985
Baseline,11,37842161.39,1985
Baseline,12,37923846.48,1985
Baseline,13,38133094.24,1985
Baseline,14,38342355.24,1985
Baseline,15,38647041.91,1985
Baseline,16,38833176.63,1985
Baseline,17,39030922.25,1985
Baseline,18,39024522.87,1985
Baseline,19,39226241.6,1985
Baseline,20,39268460.18,1985
Baseline,21,39135651.22,1985
Baseline,22,38925532.41,1985
Baseline,23,38853409.1,1985
Baseline,24,38620586.1,1985
Baseline,25,38315534.66,1985
Baseline,26,37993405.91,1985
Baseline,27,37679023.3,1985
Baseline,28,37347034.24,1985
Baseline,29,37079085.03,1985
Baseline,30,36789950.62,1985
Baseline,31,36607467.86,1985
Baseline,32,36362555.07,1985
Baseline,33,36230334.38,1985
Baseline,34,36164138.41,1985
Baseline,35,36041388.98,1985
Baseline,36,36092633.57,1985
Baseline,37,36068368.43,1985
Baseline,38,35994645.5,1985
Baseline,39,35932199.76,1985
Baseline,40,35972628.17,1985
Baseline,41,36050052.91,1985
Baseline,42,36064450.99,1985
Baseline,43,36193668.19,1985
Baseline,44,36301324.07,1985
Baseline,45,36312142.81,1985
Baseline,46,36338560.4,1985
Baseline,47,36404997.85,1985
Baseline,48,36583374.98,1985
Baseline,49,36682164.37,1985
Baseline,50,36757352.18,1985
Baseline,51,36866095.62,1985
Baseline,52,36899653.46,1985
Baseline,0,36903414.87,1986
Baseline,1,36962953.58,1986
Baseline,2,36966948.86,1986
Baseline,3,36910472.21,1986
Baseline,4,36916433.95,1986
Baseline,5,36915962.27,1986
Baseline,6,37070791.51,1986
Baseline,7,37169790.07,1986
Baseline,8,37425499.26,1986
Baseline,9,37567689.72,1986
Baseline,10,37707500.25,1986
Baseline,11,37842161.39,1986
Baseline,12,37923846.48,1986
Baseline,13,38133094.24,1986
Baseline,14,38342355.24,1986
Baseline,15,38647041.91,1986
Baseline,16,38833176.63,1986
Baseline,17,39030922.25,1986
Baseline,18,39024522.87,1986
Baseline,19,39226241.6,1986
Baseline,20,39268460.18,1986
Baseline,21,39135651.22,1986
Baseline,22,38925532.41,1986
Baseline,23,38853409.1,1986
Baseline,24,38620586.1,1986
Baseline,25,38315534.66,1986
Baseline,26,37993405.91,1986
Baseline,27,37679023.3,1986
Baseline,28,37347034.24,1986
Baseline,29,37079085.03,1986
Baseline,30,36789950.62,1986
Baseline,31,36607467.86,1986
Baseline,32,36362555.07,1986
Baseline,33,36230334.38,1986
Baseline,34,36164138.41,1986
Baseline,35,36041388.98,1986
Baseline,36,36092633.57,1986
Baseline,37,36068368.43,1986
Baseline,38,35994645.5,1986
Baseline,39,35932199.76,1986
Baseline,40,35972628.17,1986
Baseline,41,36050052.91,1986
Baseline,42,36064450.99,1986
Baseline,43,36193668.19,1986
Baseline,44,36301324.07,1986
Baseline,45,36312142.81,1986
Baseline,46,36338560.4,1986
Baseline,47,36404997.85,1986
Baseline,48,36583374.98,1986
Baseline,49,36682164.37,1986
Baseline,50,36757352.18,1986
Baseline,51,36866095.62,1986
Baseline,52,36899653.46,1986
Baseline,0,36903414.87,1988
Baseline,1,36962953.58,1988
Baseline,2,36966948.86,1988
Baseline,3,36910472.21,1988
Baseline,4,36916433.95,1988
Baseline,5,36915962.27,1988
Baseline,6,37070791.51,1988
Baseline,7,37169790.07,1988
Baseline,8,37425499.26,1988
Baseline,9,37567689.72,1988
Baseline,10,37707500.25,1988
Baseline,11,37842161.39,1988
Baseline,12,37923846.48,1988
Baseline,13,38133094.24,1988
Baseline,14,38342355.24,1988
Baseline,15,38647041.91,1988
Baseline,16,38833176.63,1988
Baseline,17,39030922.25,1988
Baseline,18,39024522.87,1988
Baseline,19,39226241.6,1988
Baseline,20,39268460.18,1988
Baseline,21,39135651.22,1988
Baseline,22,38925532.41,1988
Baseline,23,38853409.1,1988
Baseline,24,38620586.1,1988
Baseline,25,38315534.66,1988
Baseline,26,37993405.91,1988
Baseline,27,37679023.3,1988
Baseline,28,37347034.24,1988
Baseline,29,37079085.03,1988
Baseline,30,36789950.62,1988
Baseline,31,36607467.86,1988
Baseline,32,36362555.07,1988
Baseline,33,36230334.38,1988
Baseline,34,36164138.41,1988
Baseline,35,36041388.98,1988
Baseline,36,36092633.57,1988
Baseline,37,36068368.43,1988
Baseline,38,35994645.5,1988
Baseline,39,35932199.76,1988
Baseline,40,35972628.17,1988
Baseline,41,36050052.91,1988
Baseline,42,36064450.99,1988
Baseline,43,36193668.19,1988
Baseline,44,36301324.07,1988
Baseline,45,36312142.81,1988
Baseline,46,36338560.4,1988
Baseline,47,36404997.85,1988
Baseline,48,36583374.98,1988
Baseline,49,36682164.37,1988
Baseline,50,36757352.18,1988
Baseline,51,36866095.62,1988
Baseline,52,36899653.46,1988
Baseline,0,36903414.87,2017
Baseline,1,36962953.58,2017
Baseline,2,36966948.86,2017
Baseline,3,36910472.21,2017
Baseline,4,36916433.95,2017
Baseline,5,36915962.27,2017
Baseline,6,37070791.51,2017
Baseline,7,37169790.07,2017
Baseline,8,37425499.26,2017
Baseline,9,37567689.72,2017
Baseline,10,37707500.25,2017
Baseline,11,37842161.39,2017
Baseline,12,37923846.48,2017
Baseline,13,38133094.24,2017
Baseline,14,38342355.24,2017
Baseline,15,38647041.91,2017
Baseline,16,38833176.63,2017
Baseline,17,39030922.25,2017
Baseline,18,39024522.87,2017
Baseline,19,39226241.6,2017
Baseline,20,39268460.18,2017
Baseline,21,39135651.22,2017
Baseline,22,38925532.41,2017
Baseline,23,38853409.1,2017
Baseline,24,38620586.1,2017
Baseline,25,38315534.66,2017
Baseline,26,37993405.91,2017
Baseline,27,37679023.3,2017
Baseline,28,37347034.24,2017
Baseline,29,37079085.03,2017
Baseline,30,36789950.62,2017
Baseline,31,36607467.86,2017
Baseline,32,36362555.07,2017
Baseline,33,36230334.38,2017
Baseline,34,36164138.41,2017
Baseline,35,36041388.98,2017
Baseline,36,36092633.57,2017
Baseline,37,36068368.43,2017
Baseline,38,35994645.5,2017
Baseline,39,35932199.76,2017
Baseline,40,35972628.17,2017
Baseline,41,36050052.91,2017
Baseline,42,36064450.99,2017
Baseline,43,36193668.19,2017
Baseline,44,36301324.07,2017
Baseline,45,36312142.81,2017
Baseline,46,36338560.4,2017
Baseline,47,36404997.85,2017
Baseline,48,36583374.98,2017
Baseline,49,36682164.37,2017
Baseline,50,36757352.18,2017
Baseline,51,36866095.62,2017
Baseline,52,36899653.46,2017
