Scenario,Zone,Week,Min,q1,q_m,q3,Max
Baseline,CAPP,0,-137.5665498,-29.58031129,20.00262576,86.59159811,115.4324332
Baseline,CAPP,1,-121.2961365,-18.77528273,27.45141494,94.00427319,119.9315673
Baseline,CAPP,2,-117.5534777,-42.4766751,35.49615129,93.64876088,128.3176917
Baseline,CAPP,3,-117.1948209,-35.76938269,48.93016712,95.01505678,125.5144751
Baseline,CAPP,4,-107.8031168,-43.58080169,67.47117123,86.19466629,131.7039705
Baseline,CAPP,5,-99.3033632,-0.150078818,43.48967615,88.30164539,128.2504584
Baseline,CAPP,6,-96.48269428,-61.316038,36.57501109,79.72103952,130.2267788
Baseline,CAPP,7,-97.70004269,-72.16202137,9.871122568,78.28584986,139.1308771
Baseline,CAPP,8,-97.1010753,-74.17711973,-8.099281986,76.94669461,138.8901183
Baseline,CAPP,9,-95.43105475,-82.95588824,-16.86412255,81.73629603,139.4428584
Baseline,CAPP,10,-94.17784115,-75.14947247,-27.55590847,61.70738895,131.360698
Baseline,CAPP,11,-88.33804506,-77.2139326,-16.39943084,59.3844817,126.2104185
Baseline,CAPP,12,-93.66830221,-81.7796144,-22.29756461,55.97603571,102.9641659
Baseline,CAPP,13,-92.51670999,-79.06516187,-11.44128025,42.91171689,94.31771613
Baseline,CAPP,14,-94.16750013,-75.51203489,-8.746919422,45.82248755,94.24883243
Baseline,CAPP,15,-87.82364894,-7.566562055,20.8725154,66.43414606,101.1646445
Baseline,CAPP,16,-89.97171744,18.52683026,47.94372257,80.13840452,117.30666
Baseline,CAPP,17,-50.72252967,55.2662152,72.65748721,90.01453754,133.3896089
Baseline,CAPP,18,3.783648371,76.87075245,85.49851955,104.4193221,133.6475812
Baseline,CAPP,19,44.46143152,90.38794742,97.16659376,115.2709401,137.2720752
Baseline,CAPP,20,58.73343594,98.20955822,105.0044982,120.8545976,139.7174501
Baseline,CAPP,21,59.47401553,100.8852627,112.1530789,121.2919017,136.1086235
Baseline,CAPP,22,49.72680622,101.943483,109.9320964,120.7717274,139.9546447
Baseline,CAPP,23,62.86252699,103.3544068,112.0124398,124.8668138,141.8727483
Baseline,CAPP,24,81.29424449,101.9564915,113.9409631,123.7743851,138.1278122
Baseline,CAPP,25,60.5765616,98.12614397,113.4061784,120.568851,135.4117061
Baseline,CAPP,26,71.53812688,98.9015071,111.6261466,122.2744807,140.4022651
Baseline,CAPP,27,66.32445897,95.17547587,103.2321286,116.9852007,137.0116907
Baseline,CAPP,28,65.37907371,83.24675967,98.42977856,111.8366997,130.9565256
Baseline,CAPP,29,34.14170715,67.53141711,89.52236646,98.21944971,124.1625794
Baseline,CAPP,30,17.35554565,52.86777845,71.34931854,86.32577941,109.725454
Baseline,CAPP,31,-9.43243625,44.7215884,67.60933143,77.43907794,89.3412933
Baseline,CAPP,32,-9.206471461,25.19554718,43.65712528,64.62035733,102.4269331
Baseline,CAPP,33,-7.85965678,6.3404221,40.56296927,54.58316354,105.1179118
Baseline,CAPP,34,-15.6008394,0.359052782,19.95113937,45.475742,91.2778205
Baseline,CAPP,35,-9.977369389,1.60812564,17.36605754,36.79743614,87.75209869
Baseline,CAPP,36,-5.860078669,5.135148091,16.47176001,38.49588253,93.87991811
Baseline,CAPP,37,-3.88193932,9.31294834,21.55300951,44.36888922,79.46534324
Baseline,CAPP,38,-1.398701171,5.990461162,27.81907857,46.34742999,73.63102554
Baseline,CAPP,39,1.963105921,16.26342037,31.31467066,52.03189606,79.48996934
Baseline,CAPP,40,0.689933427,18.99642077,32.87307504,55.7774459,93.1606288
Baseline,CAPP,41,0.760173963,26.19916015,41.45623842,69.45791805,105.7004563
Baseline,CAPP,42,5.156856861,39.22028558,54.12023073,67.99389573,112.6280369
Baseline,CAPP,43,3.803722956,49.20273899,63.1897721,78.70239672,129.2548205
Baseline,CAPP,44,15.59298384,56.20159295,69.20109694,87.59217555,112.7538453
Baseline,CAPP,45,36.38137002,66.4131134,76.37923993,92.12040861,118.1114995
Baseline,CAPP,46,38.30767345,71.02002026,79.23073402,94.01691377,117.2657583
Baseline,CAPP,47,8.394910763,66.6426628,83.00257455,99.26743682,109.8528693
Baseline,CAPP,48,-39.08807569,47.81791796,82.25983662,93.16646027,111.0900794
Baseline,CAPP,49,-73.6474905,22.95389853,74.49720837,95.94190161,111.3712723
Baseline,CAPP,50,-113.1314875,-8.152172193,52.04985378,95.4294034,109.15153
Baseline,CAPP,51,-112.376245,-17.45872015,33.84430064,83.03203814,121.0225213
Baseline,CAPP,52,-37.35762259,-2.660524409,7.047371003,13.70808818,30.20402159
Baseline,EAPP,0,58.96370524,89.75049005,147.2084053,183.3220168,204.2313143
Baseline,EAPP,1,55.92406059,83.34526433,141.4018065,180.3962551,204.2590124
Baseline,EAPP,2,54.5143221,84.44438231,135.0895404,190.1217052,204.2593431
Baseline,EAPP,3,56.28131737,86.75623508,120.2055893,193.1663975,204.7810256
Baseline,EAPP,4,59.44950531,83.54750209,115.1540094,192.5289665,203.7265103
Baseline,EAPP,5,56.99970817,95.6146774,133.9455995,185.9846008,204.5812124
Baseline,EAPP,6,54.70542572,91.47173296,155.326719,194.4234537,201.3514211
Baseline,EAPP,7,60.79951967,89.54908856,166.6235637,199.7914032,203.9447795
Baseline,EAPP,8,59.79469145,92.87329973,171.9733907,196.6329104,204.9305405
Baseline,EAPP,9,60.78995736,90.7803591,172.4893684,201.0493884,204.8998205
Baseline,EAPP,10,58.93358457,106.6018414,176.3982543,200.6585334,204.3652992
Baseline,EAPP,11,57.34180486,111.2691379,178.743056,200.0416212,204.1813882
Baseline,EAPP,12,52.94413838,117.357858,174.9933255,201.1218216,203.1369015
Baseline,EAPP,13,59.98203408,118.2688894,174.2554458,201.0306222,203.8494685
Baseline,EAPP,14,65.6247328,115.4214448,160.6785766,197.0926149,204.0757159
Baseline,EAPP,15,65.51330461,98.01273939,151.0975245,173.4847252,202.852995
Baseline,EAPP,16,62.70977364,87.76149392,127.6924445,160.7542899,203.809497
Baseline,EAPP,17,61.57141548,75.68846005,106.394608,130.6780056,203.9408247
Baseline,EAPP,18,61.44462698,72.42192772,94.00628926,116.6338328,199.3519361
Baseline,EAPP,19,59.99777028,69.29688361,86.95283724,108.3787514,182.8923685
Baseline,EAPP,20,57.3320816,69.32301339,86.6126785,107.2053861,179.4296724
Baseline,EAPP,21,56.21785048,67.79865654,85.69069551,105.788323,178.3007897
Baseline,EAPP,22,46.00811895,69.45836969,85.7111531,115.9141349,173.4999632
Baseline,EAPP,23,56.38897277,68.63135722,91.99751907,116.1360757,176.8229059
