h,n,id,Demand,rl,pump_in,pump_out,pump_net,rl_w_pumping,rrl,rrlwp,xid
2016-07-10T01:00:00Z,LT,1996,850,457.49483000000004,0,0,0,457.49483000000004,1,14,0.9998858447488584
2016-02-23T02:00:00Z,LT,2008,882,474.91197999999997,311.3518373056771,0,-311.3518373056771,786.2638173056771,1,1053,0.9998858447488584
2016-07-10T02:00:00Z,LT,1996,839,460.69593,0,0,0,460.69593,2,17,0.9997716894977169
2016-02-23T01:00:00Z,LT,2008,884,476.91197999999997,622.7036746113542,0,-622.7036746113542,1099.6156546113543,2,4017,0.9997716894977169
2016-07-10T00:00:00Z,LT,1996,868,470.70514,0,0,0,470.70514,3,21,0.9996575342465753
2016-02-23T03:00:00Z,LT,2008,896,487.64966,155.6759186528392,0,-155.6759186528392,643.3255786528391,3,501,0.9996575342465753
2016-03-15T02:00:00Z,LT,1996,887,493.39539,717.711796815911,0,-717.711796815911,1211.107186815911,4,4991,0.9995433789954338
2016-06-24T03:00:00Z,LT,2008,829,492.13362,717.6122437887911,0,-717.6122437887911,1209.7458637887912,4,5454,0.9995433789954338
2016-07-10T03:00:00Z,LT,1996,860,493.73887,0,0,0,493.73887,5,34,0.9994292237442922
2016-06-24T02:00:00Z,LT,2008,838,503.8924,717.6122437887911,0,-717.6122437887911,1221.504643788791,5,5570,0.9994292237442922
2016-03-15T03:00:00Z,LT,1996,888,497.62245,717.711796815911,0,-717.711796815911,1215.334246815911,6,5044,0.9993150684931507
2016-02-23T00:00:00Z,LT,2008,915,506.98560000000003,717.6122437887911,0,-717.6122437887911,1224.5978437887911,6,5609,0.9993150684931507
2016-11-07T03:00:00Z,LT,1996,895,503.58918,0,0,0,503.58918,7,43,0.9992009132420091
2016-02-25T02:00:00Z,LT,2008,925,524.7783900000001,84.83507228954096,0,-84.83507228954096,609.6134622895411,7,373,0.9992009132420091
2016-03-15T01:00:00Z,LT,1996,902,506.01327000000003,717.711796815911,0,-717.711796815911,1223.725066815911,8,5181,0.9990867579908675
2016-02-25T01:00:00Z,LT,2008,931,531.0634299999999,78.5500322895412,0,-78.5500322895412,609.6134622895411,8,372,0.9990867579908675
2016-07-09T23:00:00Z,LT,1996,906,507.18323,0,0,0,507.18323,9,46,0.998972602739726
2016-06-24T04:00:00Z,LT,2008,864,532.3978946302307,717.6122437887911,0,-717.6122437887911,1250.0101384190218,9,5850,0.998972602739726
2016-11-07T02:00:00Z,LT,1996,898,507.88712999999996,0,0,0,507.88712999999996,10,47,0.9988584474885844
2016-01-26T01:00:00Z,LT,2008,941,533.36735,0,0,0,533.36735,10,170,0.9988584474885844
2016-11-04T02:00:00Z,LT,1996,912,518.66516,0,0,0,518.66516,11,54,0.9987442922374429
2016-11-16T02:00:00Z,LT,2008,917,534.1403799999999,0,0,0,534.1403799999999,11,171,0.9987442922374429
2016-03-15T04:00:00Z,LT,1996,909,524.1298300000001,717.711796815911,0,-717.711796815911,1241.8416268159112,12,5406,0.9986301369863013
2016-01-26T02:00:00Z,LT,2008,943,535.3826200000001,0,0,0,535.3826200000001,12,174,0.9986301369863013
2016-11-04T03:00:00Z,LT,1996,923,525.5829799999999,0,0,0,525.5829799999999,13,59,0.9985159817351598
2016-02-22T03:00:00Z,LT,2008,922,535.59774,717.6122437887911,0,-717.6122437887911,1253.2099837887913,13,5877,0.9985159817351598
2016-09-30T01:00:00Z,LT,1996,917,527.22816,743.1110000000001,0,-743.1110000000001,1270.33916,14,5771,0.9984018264840183
2016-06-11T02:00:00Z,LT,2008,837,535.82979,717.6122437887911,0,-717.6122437887911,1253.4420337887912,14,5879,0.9984018264840183
2016-11-07T01:00:00Z,LT,1996,919,528.68862,0,0,0,528.68862,15,62,0.9982876712328768
2016-06-24T01:00:00Z,LT,2008,869,538.27216,717.6122437887911,0,-717.6122437887911,1255.8844037887911,15,5903,0.9982876712328768
