Variable,Scenario,id,Pool,WEI+_Int,WEI_AbsInt,WEI+,WEI_Abs
Thermal,Baseline,1980,CAPP,1.20488E-07,1.50823E-05,7.55437E-08,9.4563E-06
Thermal,Baseline,1981,CAPP,1.69688E-07,2.07296E-05,1.06391E-07,1.29971E-05
Thermal,Baseline,1982,CAPP,1.11291E-07,1.01012E-05,6.9777E-08,6.33323E-06
Thermal,Baseline,1983,CAPP,2.29558E-07,3.58014E-05,1.43928E-07,2.24468E-05
Thermal,Baseline,1984,CAPP,1.81707E-07,2.40828E-05,1.13927E-07,1.50994E-05
Thermal,Baseline,1985,CAPP,7.83243E-08,5.15611E-06,4.91078E-08,3.23278E-06
Thermal,Baseline,1986,CAPP,7.33904E-08,3.6612E-06,4.60144E-08,2.2955E-06
Thermal,Baseline,1987,CAPP,7.52126E-08,3.03733E-06,4.71568E-08,1.90435E-06
Thermal,Baseline,1988,CAPP,5.84631E-08,1.61541E-06,3.66552E-08,1.01283E-06
Thermal,Baseline,1989,CAPP,4.5313E-08,2.31495E-07,2.84104E-08,1.45143E-07
Thermal,Baseline,1990,CAPP,6.3557E-08,1.8831E-06,3.9849E-08,1.18066E-06
Thermal,Baseline,1991,CAPP,7.29229E-08,3.01532E-06,4.57213E-08,1.89055E-06
Thermal,Baseline,1992,CAPP,1.56177E-07,2.21035E-05,9.792E-08,1.38584E-05
Thermal,Baseline,1993,CAPP,1.63816E-07,2.22432E-05,1.02709E-07,1.3946E-05
Thermal,Baseline,1994,CAPP,1.13432E-07,1.34378E-05,7.11198E-08,8.42524E-06
Thermal,Baseline,1995,CAPP,1.45809E-07,1.75112E-05,9.14192E-08,1.09792E-05
Thermal,Baseline,1996,CAPP,4.96634E-08,1.49067E-06,3.1138E-08,9.34619E-07
Thermal,Baseline,1997,CAPP,5.85193E-08,2.05015E-06,3.66905E-08,1.2854E-06
Thermal,Baseline,1998,CAPP,1.61472E-07,2.06359E-05,1.0124E-07,1.29383E-05
Thermal,Baseline,1999,CAPP,1.79449E-07,2.52178E-05,1.12511E-07,1.58111E-05
Thermal,Baseline,2000,CAPP,2.03902E-07,2.47854E-05,1.27843E-07,1.55399E-05
