Variable,Scenario,id,Zone,Pool,WEI+_Int,WEI_AbsInt,WEI+,WEI_Abs,Label
Thermal,Baseline,1980,AO,SAPP,1.71E-06,2.71E-06,1.70E-06,2.70E-06,
Thermal,Baseline,1981,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1982,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1983,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1984,AO,SAPP,1.71E-06,2.71E-06,1.70E-06,2.70E-06,
Thermal,Baseline,1985,AO,SAPP,1.32E-06,2.10E-06,1.32E-06,2.10E-06,
Thermal,Baseline,1986,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1987,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1988,AO,SAPP,1.38E-06,2.20E-06,1.38E-06,2.19E-06,
Thermal,Baseline,1989,AO,SAPP,1.58E-06,2.50E-06,1.57E-06,2.49E-06,
Thermal,Baseline,1990,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1991,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1992,AO,SAPP,1.71E-06,2.71E-06,1.70E-06,2.70E-06,
Thermal,Baseline,1993,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1994,AO,SAPP,1.40E-06,2.22E-06,1.39E-06,2.21E-06,
Thermal,Baseline,1995,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1996,AO,SAPP,1.71E-06,2.71E-06,1.70E-06,2.70E-06,
Thermal,Baseline,1997,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1998,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1999,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2000,AO,SAPP,2.94E-06,0.000114385,2.93E-06,0.000114077,
Thermal,Baseline,2001,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2002,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2003,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2004,AO,SAPP,1.71E-06,2.76E-06,1.70E-06,2.75E-06,
Thermal,Baseline,2005,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2006,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2007,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2008,AO,SAPP,1.71E-06,2.71E-06,1.70E-06,2.70E-06,
Thermal,Baseline,2009,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2010,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2011,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2012,AO,SAPP,1.71E-06,2.71E-06,1.70E-06,2.70E-06,
Thermal,Baseline,2013,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2014,AO,SAPP,1.73E-06,4.83E-06,1.72E-06,4.81E-06,
Thermal,Baseline,2015,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2016,AO,SAPP,1.71E-06,2.72E-06,1.70E-06,2.71E-06,
Thermal,Baseline,2017,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,2018,AO,SAPP,1.70E-06,2.70E-06,1.70E-06,2.69E-06,
Thermal,Baseline,1980,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,1981,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1982,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1983,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1984,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1985,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,1986,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1987,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,1988,BF,WAPP,1.78E-07,1.78E-07,1.64E-07,1.64E-07,
Thermal,Baseline,1989,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1990,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1991,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1992,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,1993,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1994,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1995,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,1996,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,1997,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1998,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1999,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2000,BF,WAPP,1.86E-07,1.86E-07,1.73E-07,1.73E-07,
Thermal,Baseline,2001,BF,WAPP,1.78E-07,1.78E-07,1.65E-07,1.65E-07,
Thermal,Baseline,2002,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2003,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,2004,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,2005,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2006,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2007,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2008,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,2009,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2010,BF,WAPP,1.77E-07,1.77E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2011,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2012,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2013,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2014,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,2015,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2016,BF,WAPP,1.77E-07,1.77E-07,1.64E-07,1.64E-07,
Thermal,Baseline,2017,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,2018,BF,WAPP,1.76E-07,1.76E-07,1.63E-07,1.63E-07,
Thermal,Baseline,1980,BI,EAPP,2.59E-08,2.59E-08,2.08E-08,2.08E-08,
Thermal,Baseline,1981,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1982,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1983,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1984,BI,EAPP,2.59E-08,2.59E-08,2.08E-08,2.08E-08,
Thermal,Baseline,1985,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1986,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1987,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1988,BI,EAPP,2.59E-08,2.59E-08,2.08E-08,2.08E-08,
Thermal,Baseline,1989,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1990,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1991,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1992,BI,EAPP,2.59E-08,2.59E-08,2.08E-08,2.08E-08,
Thermal,Baseline,1993,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1994,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1995,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1996,BI,EAPP,2.59E-08,2.59E-08,2.08E-08,2.08E-08,
Thermal,Baseline,1997,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1998,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,1999,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2000,BI,EAPP,2.58E-08,2.58E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2001,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2002,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2003,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2004,BI,EAPP,2.59E-08,2.59E-08,2.08E-08,2.08E-08,
Thermal,Baseline,2005,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2006,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2007,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2008,BI,EAPP,2.59E-08,2.59E-08,2.08E-08,2.08E-08,
Thermal,Baseline,2009,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2010,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2011,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2012,BI,EAPP,2.59E-08,2.59E-08,2.08E-08,2.08E-08,
Thermal,Baseline,2013,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2014,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2015,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
Thermal,Baseline,2016,BI,EAPP,2.59E-08,2.59E-08,2.08E-08,2.08E-08,
Thermal,Baseline,2017,BI,EAPP,2.59E-08,2.59E-08,2.07E-08,2.07E-08,
