Unit,Nunits,Alpha
"[51, 53, 55, 56, 57, 60] - AO - HDAM - WAT",6,4
"[52, 54, 58, 59] - AO - HROR - WAT",4,4
"[1409, 1410] - BF - HDAM - WAT",2,2
"[242, 243, 244, 245] - BI - HROR - WAT",4,4
[1423] - Nangbeto East,1,1
"[107, 112, 113] - CD - HDAM - WAT",3,2
"[106, 108, 109, 110, 111, 114, 115, 116] - CD - HROR - WAT",8,4
[129] - Boali I and II,1,1
[145] - Imboulou,1,1
"[146, 147, 148] - CG - HROR - WAT",3,2
"[1439, 1441, 1442, 1443, 1444] - CI - HDAM - WAT",5,3
[1440] - Soubre,1,1
"[173, 176] - CM - HDAM - WAT",2,1
"[174, 175, 177] - CM - HROR - WAT",3,2
"[664, 665, 666, 667, 668] - DZ - HDAM - WAT",5,5
"[662, 663] - DZ - HROR - WAT",2,2
"[865, 866] - EG - HDAM - WAT",2,0.5
"[867, 868] - EG - HROR - WAT",2,0.5
"[315, 318, 320, 321, 322, 323] - ET - HDAM - WAT",6,4
"[316, 317, 319, 324, 325, 326] - ET - HROR - WAT",6,3
"[209, 210] - GA - HDAM - WAT",2,2
"[211, 212, 213] - GA - HROR - WAT",3,2
"[1474, 1475, 1476] - GH - HDAM - WAT",3,1
[1509] - Garafir,1,1
"[1508, 1510, 1511, 1512, 1513, 1514] - GN - HROR - WAT",6,2
[224] - Djiboloho,1,1
"[374, 375, 376, 377, 378, 380] - KE - HDAM - WAT",6,2
"[379, 381, 382, 383, 384, 385] - KE - HROR - WAT",6,3
[1525] - Mount Cofee,1,1
[1526] - Firestone,1,1
[1084] - Katse Dam,1,1
"[962, 964, 965, 966, ... 0] - MA - HDAM - WAT",16,10
[963] - Afourer,1,0.5
"[975, 977, 981] - MA - HROR - WAT",3,0.5
"[1559, 1561] - ML - HDAM - WAT",2,2
"[1560, 1562, 1563] - ML - HROR - WAT",3,3
[1017] - Manantali II,1,1
"[1096, 1097, 1098, 1099] - MW - HROR - WAT",4,1
"[1124, 1126, 1127, 1128] - MZ - HDAM - WAT",4,3
"[1125, 1129] - MZ - HROR - WAT",2,1
[1144] - Ruacana,1,1
"[1677, 1678, 1679, 1680, 1682] - NG - HDAM - WAT",5,4
[1681] - Jekko Falls and Micro,1,1
"[399, 400, 401, 402, 403, 404] - RW - HROR - WAT",6,3
"[446, 447, 448, 449, 450, 451] - SD - HDAM - WAT",6,2
[1695] - Bumbuna,1,1
"[1696, 1697, 1698] - SL - HROR - WAT",3,2
[1759] - Manantali I,1,1
[477] - Juba,1,1
"[1150, 1151, 1152, 1153, 1154] - SZ - HDAM - WAT",5,3
[1768] - Nangbeto West,1,1
[1062] - Sidi Salem,1,1
"[1063, 1064, 1065, 1066, 1067] - TN - HROR - WAT",5,4
"[526, 528, 530, 531] - TZ - HDAM - WAT",4,2
"[527, 529, 532] - TZ - HROR - WAT",3,2
[567] - Narubale,1,0.5
"[565, 566, 568, 569, ... 9] - UG - HROR - WAT",14,3
"[1296, 1297, 1299] - ZA - HDAM - WAT",3,2
"[1293, 1294, 1295, 1298] - ZA - HPHS - WAT",4,3
"[1300, 1301, 1302, 1303, 1304] - ZA - HROR - WAT",5,3
"[1325, 1326, 1327, 1329, 1330] - ZM - HDAM - WAT",5,3
"[1328, 1331, 1332, 1333, 1334] - ZM - HROR - WAT",5,2
"[1354, 1355] - ZW - HDAM - WAT",2,0.5
